stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0
  5-6,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.44,0,3.3,0,0,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.11,0,0,0,20.91,0,3.63,3.79,0,0,0,0,0,0,0,0,0
 10-12,5.11,0,26.23,0,0,0,14.21,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,254.44,7.97,0,0,30.11,0,4.33,5.55,0,0,6.05,0,0,0,0,0,0
 14-21,0,1.13,1.03,36.19,3.38,0,19.56,0,0,0,1.1,0,0,1.87,0,0,0,46.17,0,15.48,0,0,14.81,145.44,4.25,0,0.98,1.46,0,41.61,1.38,14.09,0,5.5,25.18,0,0,1,0,2.78
 24-34,0,0,2.32,29.36,0.68,0,64.51,0,0,0.79,7.5,2.05,3.84,31.68,1.5,3.66,0,126.02,9.26,34.42,7.04,0,8.57,208.3,0.83,0.76,1.43,0,0,251.59,0,2.71,0.7,0.59,31.43,0,0,19.06,0,9.5
 36-46,0,0,0,6.34,0,0,39.38,0,0,0,9.88,0,1.7,55.18,0,10.67,0,44.46,12.83,31.49,8.09,8.23,6.85,100.91,0,1.47,1.33,0,0,283.47,0,0,19.47,0,13.8,0,0,32.27,0,21.53
 48-58,0,0,0.43,23.71,7.12,0,81.4,0.58,2.82,1.4,44.49,9.54,2.25,88.32,1.4,6.72,0,35.83,9.84,57.06,2.32,0.69,7.02,81.49,0,0,1.81,0,0,209.56,0,0,11.31,0,22.33,0,0,14.39,0.9,29.01
 60-70,0,0,0,24.81,0,0,121.5,0,5.14,3.93,60.29,39.2,1.39,91.62,0.57,22.13,1.12,41.6,2.64,107.88,4.2,0,2.2,77.76,0.76,0,0.59,0,0,173.54,0,0,23.3,0,15.44,0,0,22.29,0,30.69
 72-82,0,0.55,0,36.56,6.72,0.7,121.19,0.69,0,10.09,141.53,110.23,8.49,114.74,3.58,19.93,0,152.74,8.54,168.66,7.99,0.51,15.02,129.77,0,0.75,5.83,0,2.3,101.67,0,0,66.83,0,20.71,1.93,2.11,31.15,3.41,19.99
 84-94,0,0,0,56.33,26.7,5.86,213.89,1.21,9.09,4.82,81.83,198.56,0,148.39,9.95,18.43,0.76,338.23,12.98,101.27,4.71,0.55,7.13,74.08,0,1.57,3.49,0,0,314.82,0,0,117.51,0,8.07,5.68,0,33.23,4.23,53.48
 96-106,0,2.82,0,72.29,10.52,5.82,203.57,1.42,4.69,6.01,179.79,288.72,0.78,134.53,11.56,23.01,1.39,524.33,2.51,199.13,27.2,5.47,11.14,219.04,0,0,6.73,0,0,211.04,0,0,137.16,0,15.42,1.26,4.67,54.44,1.67,47.19
108-118,0,0,0.89,97.48,7.84,21.02,219.21,0,10.36,17.05,177.04,352.56,0,117.63,11.63,38.94,6.78,1115.02,2.59,253.57,16.74,0,27.03,187.24,2.71,0.86,16.16,0,4.6,259.62,0,0,192.87,0,0,6.21,3.62,64.2,4.84,26.24
120,0,6.74,0,129.29,24.35,4.93,100.85,0,10.22,39.77,213.11,236.85,0,203.33,25.66,20.93,0,568.84,1.61,292.17,8.51,9.83,17.27,183.4,5.72,4.8,3.99,0,0,255.29,0,0,114.94,0,0,5.45,2.35,53.53,24.98,4.93
