stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.49,0,3.82,0,3.53,0,0,0,0,0,0,0,0
 10-12,4.32,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.99,0,0,0,3.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.83,0,0,0,0,0,0,0,32.43,0,0,0,1.23,21.38,0,15.77,0,0,0,594.73,0,1.44,3,1.15,0,2.06,0,0
 24-34,0,0,0,36.52,1.28,3.26,0,0,0,0,0,245.91,0,0,6.32,2.91,583.4,4.48,155.64,0,0,0,853.88,0,0,0.84,9.01,0,1.49,0,0
 36-46,0,0,0,36.48,0,2.51,5.53,0.81,0,0,0,159.59,0,0,0,13.55,657.07,0,303.83,0.62,0,0,1019.63,0.63,0,0,3.5,0,0,0,0
 48-58,0,0,0,18.62,0,16.57,21.16,0,3.68,3.52,0,140.76,3.42,0,0,3.85,553.04,0,79.59,0,0,0,797.41,0,0,0,11.08,0,0,0,2.84
 60-70,0,0.57,0,10.38,0,22.17,5.27,0,1.37,0,0,96.07,0,0,0,6.25,481.02,0,28.24,0,0,0,531.87,0,0,0,1.24,0,0.72,0,3.24
 72-82,0,0,0,9.25,0,13.54,15.54,0,5.92,0,6.04,34.88,0,0,1.4,13.69,592.31,0.8,17.66,0.75,0,0,306.22,0,0,0,3.18,15.15,0,0,0
 84-94,0,0,0,14.89,2.39,3.4,7.05,0,0,0.6,1.17,6.94,0,0,0,23.08,467.47,5.87,12.39,0,0,0,733.56,0,0,0,0.84,11.72,0,0,0
 96-106,0,0,0,4.92,10.74,10.3,5.54,0,1.72,5.78,0,10.36,0,0.9,0,9.41,354.87,0,13.38,0,0,0,453.12,0,0,0,0,9.44,0,0,0
108-118,0,0,0,2.99,0,0.5,6.4,0,0.71,0,0.94,6.76,0,2.36,0,9.88,263.31,0.47,24.77,1.61,0,0.91,376.22,0,0,0,0,5.22,0,1.13,0
120,0,0,0,8.38,0,2.06,9.19,0,0,0,9.85,2.78,0,0,0,15.87,131.18,1.86,0,0,0,0,171.9,0,0,0,0,0,0,0,0
