stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.49,308.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0,0,0,0,0,0
  5-6,0,131.77,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,11.68,0,0,0,0,0,48.75,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,77.06,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.71,0,71.92,0,0,0,137.32,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,700.9,26.4,0,0,94.69,0,0,0,25.48,0,0,0,0,0,0,0
 14-21,0,0,1.32,6.57,153.21,15.32,0,22.88,0,0,72.55,3.33,2.21,1.07,0,0,0,0,0,0,39.86,0,0,9.84,560.52,5.81,0.87,4.52,6.64,4.66,0,4.32,40.5,0,4.17,780.2,0,0,14.18,0
 24-34,0,0,4.03,10.7,72.94,0.6,0,61.75,0.92,2.22,118.85,0,7.11,0,0,0,0,23.14,1.64,0,55.55,0,0.82,20.12,870.86,1.24,0.88,12.43,1,0.98,0.98,0,78.05,0.63,1.92,704.93,0,0,70.66,0
 36-46,0,0,0,0.84,39.77,0,0,100.8,5.51,1.26,143.35,0.83,2.44,1.64,0,0,0,22.93,0,0,60.55,0.56,1.43,20.12,855.96,0,5.05,17.4,0,0.58,0,0,44.06,0,0,735.21,0,0,37.03,0
 48-58,0,0,1.07,2.9,5.84,0,0,114.87,1.27,2.05,171.22,4.51,2.74,1.49,0,2.1,0,17.78,5.79,6.81,34.77,0,2.48,18.5,349.17,3.02,4.37,21.13,0,18.26,0,0,48.09,0,0,442.72,0,0.37,31.44,0
 60-70,0,0,1.17,0,15.71,0,0,97.13,0,1.25,318.8,8.93,0,0.92,0,9.81,0,25.12,0,0,49.19,0,0.91,10.4,232.1,0,18,6.67,0,1.22,0,0,32.25,0,0,213.27,0.61,0,34.96,1.55
 72-82,0,0,2.98,0,19.62,9.44,0,82.75,0,3.25,500.82,9.6,0.52,2.44,2.76,5.28,0,30.79,0,0,102.95,0,2.52,8.41,184.2,0,5.56,16.82,0,1.16,3.31,0,32,0,0,156.38,1.45,0,82.55,0
 84-94,0,0,4.39,1.2,16.77,0,2.35,72.65,0,1.01,354.73,20.78,0,1.8,0,23.57,1.29,43.73,2.38,0,72.67,0,1.06,6.15,172.09,0,19.62,14.32,0,0.59,0,0,43.61,0,0,111.93,10.35,0,47.55,0.63
 96-106,0,0,2.34,3.96,18.23,1.34,0,68.69,0,0,464.8,19.94,0,4.35,1.53,20.39,0,44.53,2.8,7.1,83.01,0,2.79,10.15,192.64,1.43,16.14,19.37,0,5.55,9.27,0,47.43,0,0,118.14,9.38,2.04,82.37,3.09
108-118,0,0,7.51,3.31,11.97,4.66,3.19,86.82,0,5.21,462.44,14.25,0,1.46,1.35,32.66,0.42,55.18,6.86,0,133.93,0,0.94,10.25,249.5,0,9.7,33.37,0,2.33,0,0,42.55,0,0,72.2,10.97,0,70.53,0
120,0,0,2.52,4.41,21.9,0,0,90.53,1.34,0,453.05,14.56,0,12.15,1.18,14.98,0,38.12,6.54,0,46.72,0,0,4.59,198.67,0,10.3,53.95,0,4.48,0,0,46.33,0,0,84.56,3.36,0,52.61,0
