stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,4.81,0,0,0,0,0,0
 14-21,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,4.55,3.9,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,0,0,0,14.03,0,0,0,0
 36-46,0,0,0,3.67,0,0,0,0,0,4.73,0,0,0,0.58,0,0,223.32,0.56,0,0,27.89,0,0,0,0
 48-58,0,1.94,0,102.61,0.83,0,1.8,0,0,0,4.44,0,0,4.71,0.95,0,427.35,0,0,0,60.88,0,0,0,0
 60-70,0,0,0,560.19,0,0,7.44,0,0.67,0,0,1.39,0,4.04,0,0,475.08,0,0,1.16,45.39,0,0,0,0
 72-82,0,0.68,0,457.04,0,4.17,12.5,0,0,0,0,0,0,2.26,0,0.68,392.68,0,0,1.56,15.31,0.91,0,0,9.31
 84-94,0,4.24,0,338.64,0,0,7.4,0,0,0,0,0,0,1.55,0,0,280.1,0,0,0,21.81,0,0.91,0.57,0
 96-106,0,2.04,2.06,226.29,0,0,2.59,1.01,0,0,0,0,10.79,0.89,0,0,164.23,0,0,0.62,8.87,0,0,0,0
108-118,0,5.99,0,116.23,0,0,2.91,0,0,0,0,0,0,0,0,0,169.15,0,0,0,7.06,0,0,0,0
120,0,5.34,0,75.39,0,0,0,0,0,0,0,0,0,5.17,0,0,318.39,0,0,0,22.31,0,0,0,0
