stage,blastomeres,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,pgc,spinal.cord
  3-4,30.26,0,0,0,0,0,0,0,0,0
  5-6,25.56,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.85,5.5,0
 10-12,0,0,0,0,0,0,0,14.17,0,0
 14-21,0,2.14,0,0,0,0,0,3.22,0,0
 24-34,0,0,0,0,0,0,0.67,0.86,0,1.2
 36-46,0,0,0,0,0,0,0,15.26,0,0
 48-58,0,0,0.65,0,0,0,0,9.01,0,0.84
 60-70,0,0,1.15,0,2.4,0,0,5.96,0,0
 72-82,0,1.06,1.49,0,0,0,0,4.42,0,0
 84-94,0,0,0,0,0,1.1,0,1.73,0,0
 96-106,0,4.97,0,0.75,0,0,0,2.19,0,0
108-118,0,10.53,0.54,0,0,0,0,0,0,0
