stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,3.68,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,425.58,9.05,0,0,5.76,0,0,4.89,0,0,0,0,0,0
 14-21,0,0,0.89,0,50.63,0,0,0,0.87,0,0,0,0,0,0,0,0,0,1.96,0,4.51,570.38,0,0,5.13,1.89,0,0.99,1.65,191.13,0,0,0,0,0
 24-34,0,0,0.66,0,85.49,0,0,0,0,0,0,0,0,0.74,0,0,1.51,1.29,6.84,0,5.01,1543.07,0.95,0,21.4,0,5.04,1.17,1.31,438.85,0,0,0,0,0.78
 36-46,0,0,7.51,0,71.08,0,0,0.88,5.26,0,0.76,0,0,0,0,0,0,0,19.72,0,1.29,3979.52,0,1.54,18.32,0,2.27,0,0,964.12,0,0,0,0,0
 48-58,0,0,7.35,1.47,150.37,0,8.58,0.43,54.49,0,0,1.04,0,0,4.61,2.58,2.65,0,13.07,3.08,3.22,4521.3,0.7,0.9,12.59,0,0,0,0,1060.51,0,0,2.68,0,0
 60-70,0,0,9.55,1.04,105.75,0,0,0,16.44,0,0,0,0,0.61,0.72,0,0,0,11.79,0,0,2703.24,0,5.99,16.22,0,2.8,0.73,0,876.51,0,0,0,0,0
 72-82,0,0,6.72,0.51,92.97,0,2.82,0,48.84,0,0,0,0,0,0,0,1.35,0,18.76,0,0,1542.64,0,0,23.81,0,0,0,0,243.16,3.44,0,0,1.28,0
 84-94,0,0,6.67,1.12,72.68,0,0,3.34,25.92,0,0,0,0,0,0,0,4.97,0.95,17.59,0,1.49,1341.52,0,1.46,29.5,0,0.64,0,0,223.57,0,1.21,0,1.9,0
 96-106,0,0,0.73,0,40.59,0.86,0,0,23.63,4.14,0,0,1.91,0,0,3.23,0,0,6.84,0,0,661.2,0,0.6,20.62,0,1.13,0,0,108.84,0,0,0.56,0,0
108-118,0,0,9.22,0,28.53,0,0,0,40.38,0,0,0,0.43,0,0,2.86,0,0,9.17,0,0.9,704.3,0,0,32,0,0,0,0,61.61,0.44,0,0,1.31,4.29
120,1.19,0,3.86,0,75.03,0,0,0,71.86,0,0,0,0,0,0,6.01,0,0,9.37,0,3.31,725.16,0,0,31.73,0,1.36,0,0,32.44,1.37,0,0,0,0
