stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,237.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.21,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.63,412.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.92,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.63,0,0,0,36.01,0,0,23.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.46,0,6.18,0,14.57,0,0,0,0,0,16.44,0,0,0,0,0,0,0,0,0,0,255.64,9.24,0,0,219.79,0,0,0,0,108.64,0,38.22,0,0,0,0,0,0
 14-21,0,0,1.05,2.63,12.02,13.8,0,0,0,0,0,0,8.12,0,0,0,0,0,0,0,1.01,9.99,0,55.83,205.98,1.8,0,0.95,0.96,0,0,1.54,1.8,7.41,41.24,182.09,41.57,0,0,1.64,0,1.15
 24-34,0,0,0,0.98,2.75,0,0,6.04,0,0,0,4.68,1.22,0,0,0,11.41,0,0,0,32.9,20.73,0,20.82,644.78,0,4.62,8.65,0,0,8.13,0,0,0,4.11,5.14,156.2,0,0,12.25,0,16.88
 36-46,0,0,0.73,0,0.72,0,0,21.82,0,0.74,0,14.21,0,0,1.26,2.86,0,0,0,0,182.96,35.29,0,8.54,1337.18,0,2.75,4.53,0,0,0,1.11,0,0,0,0,289.89,0,0,0.71,0,36.74
 48-58,0,0,0,0,4.9,0,0,138.15,0,4.46,0.5,37.04,0,0,0,0,0,0,0,3.35,188.18,41.25,0,41,1708.4,5.81,0,7.75,0,0,9.53,0,0,0,0,0,227.55,0,0,4.33,0,50.57
 60-70,0,0,0,0,5.95,0,0,940.16,0,4.47,0,41.77,0,0,0,0,0,1.75,2.31,0,85.92,87.53,4.48,24.79,2764.71,0,0,6.71,0,1.03,0,0,0,0,0,0,358.02,0,5.48,0,0,27.09
 72-82,0,0,0,0.56,16.83,4.28,0,1755.39,0.75,0,1.63,102.41,0,0,0,0.59,0,4.06,0,0,101.1,99.2,0,14.01,3340.7,1.26,0,11.96,0,1.43,1.9,0,0,0,0,0,231.38,3.64,3.7,6.56,0,30.51
 84-94,0,0,0,0,10.19,0,0.69,1626.56,1.27,0,1.21,67.08,0,0,0,3.11,0,11.98,0.93,0,179.28,65.44,1,16.44,2215.97,0,0,22.73,0,0,1.03,0,0,0,0,0,131.81,0,0.64,1.7,0,27.83
 96-106,0,0,0,0,29.51,19.1,0,2453.8,2.02,2.87,0,77.04,1.83,0,7.78,2.13,0,3.32,1.01,8.23,41.64,108.92,1.76,21.6,2323.25,0,0,19.28,0,6.53,3.76,3.82,0,0.87,0.68,0,82.37,4.3,0,4.27,0,35.01
108-118,0,0,0,0,25.11,2.79,1.13,2121.67,2.42,0,0,96.68,0.84,0,5.79,0,0,16.04,1.39,1.12,49.31,120.05,4.61,4.98,2529.71,0,0.7,27.31,0,4.59,0.83,0,0,1.48,0,0,69.89,0,2.34,2.79,1.9,13.38
120,0,0,1.22,0,9.46,0,0,1483.32,0,1.16,3.17,148.38,2.75,0,0,0,0,0,5.57,4.16,30.32,87.4,9.18,9.95,3532.14,0,8.55,51.95,0,0,4.68,0,0,2.43,0,0,89.85,0,0,0,0,13.3
