stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,45.64,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0
  5-6,0,13.27,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0
  7-9,10.89,0,0,6.73,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,29.52,0,5.69,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0,1.23,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,7.92,0,0,0,0.6,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,3.84,0,17.07,0
 48-58,0,0,0,1.16,0,0,0,0,1.35,0,0,1.95,0.89,0,0,0,0,1.12,0
 60-70,0,0,0,0,1.58,0,0,0,0,0,0,2.38,0,0,0,1.75,0,1.47,0
 72-82,0,0,0,1.6,6.72,0,0,0,17.18,0,0,0.85,1.2,0,0,0,6.98,0,0
 84-94,0,0,0,1.45,12.46,0,0.6,0,22.92,0,0.57,0.88,0,0,0,5.46,1.44,2.14,0.98
 96-106,0,0,0,0,4.54,0,0.8,0.65,31.81,0,0.78,1.32,0,0,0,0,1.73,2.83,5.37
108-118,0,0,0,0.7,0.86,1.08,1.34,0,58.84,0.53,0.99,5.23,0,0,0,2.81,8.88,1.6,3.54
120,0,0,2.69,3.86,0,0,3.65,0,100.96,0,0,2.55,0,0,0,0,0,3.18,3.81
