stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,heart,immune,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,27.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,32.78,0,0,0,0,0,0,0,0
 10-12,14.27,0,0,0,0,0,0,0,0,0,71.05,0,0,0,10.01,0,0,0,0
 14-21,0,0,0,1.23,0,20.2,0,0,0,0,18.18,0,1.51,1.82,0,0,10.65,54.7,0
 24-34,0,0,0,1.02,0,19.69,0,0,0,0,38.16,0.7,7.89,1.32,0,0,12.67,39.1,0
 36-46,0,0,0,0,0,10.5,0.93,0,0,0,19.03,0,22.24,0,0,0,1.65,31.58,0
 48-58,0,0,2.11,0,1.87,18.29,0,0,0,0,28.4,0,17.69,4.04,0,0,0.83,27.22,0
 60-70,0,0,0,0,0.86,12.18,0,0,0,0.58,41.87,0,26.5,6.74,0,3.12,0.65,14.68,0
 72-82,0,0,0,0,1.37,13.5,0,0,0,0,47.03,0,23.07,1.91,0,0,0,13.25,0
 84-94,0,0.56,0,0,9.01,11.59,0,0,0.9,0.93,44.57,0,27.23,4.57,0,0,0.62,14.2,0
 96-106,0,1.28,0,3.03,1.85,18.19,0,0,7.23,3.54,16.69,0,21.95,2.87,0,0,0.82,14.19,0
108-118,0,0,0,0,2.41,11.87,0,0.52,2.84,0.6,16.64,0,20.35,5.12,0,0.79,0.43,5.64,0.99
120,0,0,0,0,0,8.59,0,0,2.11,0,10.67,0,24.13,7.13,0,0,20.83,16.41,0
