stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3.8,0,0,3.66,0,0,0,9.45,0,0,0,0,0,0,0,0,1.32,0,0,1.67,41.69,0,0,0,0,4.3,1.93,1,0,0.89,60.8,0,0,0,0,0
 24-34,4.1,0,11.45,0,0,12.32,0,0,1.25,25.02,0,0,0,0,3.58,1.23,0,0,8.88,0.84,0,7.08,809.46,0.62,10.5,1.75,0,41.35,0,0,0,0,254.21,0,0,6.13,0,0
 36-46,2.45,0.63,4.74,0,0,17.81,0,1.02,0.99,160.67,0,1.05,0,0,0,0,0,10.64,12.73,0,0,2.22,1504.37,4.06,3.86,0,7.92,86.6,0,0.79,0,0,415.07,0,0,0,0,8.93
 48-58,3.43,0,9.64,0,0,158.38,0,4.37,1.22,536.07,0.75,1.06,0,0,0,0,0,0,37.72,0,1.18,4.19,2258.43,0,3.85,0,0,46.56,0,0,0.9,0,675.59,0,0,4.65,0,12.95
 60-70,0,0,12.81,0,0,244,0.89,0,0,643.91,0,0,0,1.63,5.41,0,0,0,71.87,3.03,1.63,2.29,3292.45,13.29,5.69,3.63,0,28.78,0,0,0,0,519.11,0,0,4.88,0,1.98
 72-82,4.56,0,8.23,10.25,0,400.56,0,0,2.23,703.34,0.67,1.42,6.46,0,0.55,0.65,0,0,83.4,5.11,1.97,6.65,4160.22,0,1.59,0,0.71,1.07,0,6.16,0,0,306.25,0,1.73,3.16,0,8.9
 84-94,14.45,0,21.08,6.97,0,345.14,0.64,1.4,2.76,469.27,0.73,1.01,0,1.61,1.13,0,2.93,9.69,59.27,2.13,5.5,3.04,2797.08,1.16,4.41,9.36,0,20.76,0,9.44,0,0,215.86,0.9,2.12,1.14,1.5,0
 96-106,4.81,0,23.98,10.65,1.52,305.88,0.87,0,4.69,489.19,1.6,0,2.57,0,0,0.77,0,0,79.89,1.24,5.74,2.72,2622.56,0.59,5.26,5.59,0,19.82,0,5.86,0,0,120.3,0,0,2.37,2.91,8.85
108-118,7.71,0,31.02,11.77,0,303.49,0,0,0.99,564.62,2.9,0,2.05,0.89,2.22,0.45,0,0,65.13,0,4.08,0.86,2770.61,0,1.65,2.47,2.89,4.5,0,6.53,0,0,91.18,1.44,2.34,0.55,1.75,2.84
120,3.9,0,21.19,0,2.02,511.04,18.76,0,6.05,1015.21,2.4,0,1.01,0,3.86,0,4.16,0,101.01,0,9.54,0,5927.76,0,6.14,15.85,0,2.67,0,14.25,0,0,217.64,0,0,14.71,0,0
