stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0
 14-21,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0.85,0,0,0.87,0,0,0,0,0,0
 24-34,0,0,1.93,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,4.55,0,0,0,0,0,0,1.85,0,0,0,0,0
 36-46,0,0,0.84,0,0,0.62,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,4.73,0,0,0,0,0,0,2,0,0,0,0,0
 48-58,0,0,0.44,0,0,6.26,0,0,0,0,0,0,0,0,0,0,4.23,0,0,6.99,20.96,0,0,0,0,0,0,1.36,0,0,0,0,0
 60-70,0,0,0.58,0,2.89,4.16,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.71,0,145.2,14.87,0,0,0.73,0,0.87,1,1.42,0.6,0.59,0,10.55,0,0,0,54.43,0,0,0,0,1.2,0,0,0,0,0,0,1.59
 84-94,0,0,0.61,0,326.7,11.08,0,0,1.41,0,0,0,0,0,0,0,6.18,0.75,1.07,0.85,45.19,0,0,0,0,2.19,1.93,1.13,1.63,0,6.1,0,0
 96-106,0,0,5.53,0,758.78,32.91,0,0,3.68,0,0,0.71,0,0,6.1,0,8.77,0,0,5.03,63.76,0,1.19,0,0,5.6,0,0,0,2.14,1.83,0.69,0
108-118,0,0,8.29,1.71,1794.48,53.53,2.1,0,8.52,1.23,0,0,1.14,0,2.16,2,22.91,0,0.92,0.47,90.67,0,0,0,0,5.66,0,9.27,0,0.53,2.47,0,0
120,0,0,16.7,3.13,739.32,9.95,0,2.94,17.65,9.69,0,0,0,0,0,0,33.29,0,0,7.72,90.47,8.4,0,0,0,5.84,0,0,0,0,0,0,0
