stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0
  5-6,0,72.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.98,0,0,0,0,0,0,0
  7-9,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.63,0,0,12.36,186.72,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.87,8.6,0,4.5,56.74,0,0,0,0,0,0,0
 14-21,0,0,0.81,17.08,0.98,0,0,0,0,0,1.26,0,0,5.17,1.41,0,0,0,0,0,1.33,14.42,0,0,155.69,2.12,0,0,0.81,3.23,0,0
 24-34,0,0,0,5.67,0,0,0,0,0,0,0,0.76,0,10.88,0,0,3.61,4.77,0,0,49.9,0,0,0,309.3,0,0,0,1.11,0,0,0
 36-46,0,0,0,4.09,0,2.98,0,8.93,0,0,0.59,0,0,2.09,0,0,2.21,0.58,0,0,13.65,0,0,0,356.29,0,2.42,0,0,2.65,0,0.75
 48-58,0,0,0,1.92,0,4.49,0,2.13,0.58,0,1.47,0,0,1.99,0,0,3.03,3.1,0,0,28.89,0,0,0,198.08,0,0,0,0,1.78,0,0
 60-70,0,0,0,0.77,0,5.92,0,0,0,0,0,0,0,0,2.89,0.86,1.69,3.27,0,0,3.9,0,1.19,0,225.3,0,0,0,0,0,0.82,0
 72-82,0,0,0,4.95,0,0,0,0.81,1.76,1.48,0,0,0,2.11,0,0,6.59,3.32,0,0,12.17,0,0,0,105.4,0,0.85,0,0,5.34,0,0
 84-94,0,0,0,11.1,0,0,0,2.85,0,1.06,1.43,0,0,13.46,0,0,2.94,3.44,0,0.84,5.01,0,0,0,265.92,0,1.11,0,0,2.88,0,0
 96-106,0,0,0,6.56,1.08,1.89,0,4.82,1.01,3.59,1.5,0,3.17,11.99,0,0,11.11,3.03,1.52,0,5.74,0,0,0,203.09,0,0.7,6.18,0,0,0,2.59
108-118,0,0,0,11.58,0,6.76,0.76,3.44,0,0,1.31,0,0,15.2,0,0,5.3,5.52,0,0.49,3.71,0,2.89,0,157.1,0,0,0,0,0,0,0
120,0,0,0,15.99,0,3.07,0,0,0,0,5.02,0,0,9.89,0,0,0,0,13.19,0,13.25,0,0,0,112.59,0,0,0,0,0,0,0
