stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,24.09,0.99,0,0,0,2.08,0,0,2.07,0,0,0,5.54,0,1.16,1.2,0,0,0,0,0,0.96,0.88,3.99,2.32,0,0,0,0
 24-34,0.76,1.26,0.67,0,0,0,0,1.43,0,0,0,1.32,0,13.76,0,7.7,16.87,2.41,0,0,0,1.68,0,0,0,3.82,0,9.39,0,0
 36-46,0,3.82,0,3.33,0.78,0,0,2.39,0,0,0,0,0,31.66,1.26,3.17,17.2,1.4,0,0.84,0,4.1,0,0,0,9.48,0,9.95,0,0
 48-58,0,6.62,0,3.97,0.9,1.81,1.26,0.89,0,0,0,3.35,0,32.3,1.25,2.78,16.79,0,0,0.66,0.61,4.71,0,0,0,7.17,0,1.97,0,0
 60-70,0,0,0,3.8,0.62,2.15,0,0.95,0,0,0,1.96,0,22.82,2.73,1.13,4.86,0,0,0,0,0.57,0,0,0,0,2.83,0,0,0
 72-82,0,0,0,2.23,0,0.92,0,0,0,0,0,0,0,28.4,0.89,0,5.9,0,1.3,0,0,0.87,0,0,0,0,0,5.17,4.27,0
 84-94,0,0,0,6.13,0,0,0,5.07,0.63,0,0,1.03,0,19.74,0.76,1.79,1.69,0,0,0,0,0.62,0,0,0,0,0,6.39,1.06,0.86
 96-106,0,0,0,13.16,1.88,1.33,0,0.72,0,0,0.71,0,0.75,10.68,5.99,0,6.23,0.66,0,0,0,4.33,0,0,0,0,0,3.31,0,0
108-118,0,1.78,0,7.68,3.22,2.97,0,0,0.47,0.67,2.29,0,0,34.34,3.29,3.62,21.94,0,2.38,0.42,0,3.45,0,0,0,0,0.99,2.82,1.05,0
120,0,5.01,0,10.36,0,0,0,0,5.79,0,0,0,0,14.48,0,0,5.94,0,5.12,0,0,1.89,0,0,0,10.36,9.27,24.41,4.95,0
