stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,476.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39,0,0,0,0,0
  5-6,158.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,18.77,0,0,0,0,0,0,0,0,0,0,23.94,0,0,0,18.18,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,72.7,0,0,0,12.98,6.67,0,0,0,0,0
 14-21,0,0,5.58,0,0,0,1.28,0,0,0,0,0,0.88,0,0,0,0,0,0,0.88,0,29.82,0,0.97,0,0,0
 24-34,0,0.84,3.66,0,0,0.78,5.94,0,0,0,0,0,3.6,0,0,1.9,16.56,0,2.21,0,0,176.91,0,0,0,0,0
 36-46,0,0,2.91,0,0,1.52,0.69,1.09,0,0.72,0,1.44,3.33,0,1.13,0,16.59,0,0,0,0,141.65,0,0,0,0,0
 48-58,0,0,16.78,0,0,4.6,17.56,0,0,0,0.87,4.67,0.77,0,2.31,4.15,12.96,0,1.78,0,0,141.18,0,1.7,0,0,0.48
 60-70,0,0,7.86,0.57,0,1.59,1.24,0,0,0.89,0,15.32,0.6,1.54,1,0,2.86,0,3.58,0,0,197.63,0,0,0.84,0.75,0
 72-82,0,2.44,9.33,0,1.92,1.14,1.24,0,1.54,1.93,0,17.99,1.49,6.05,0,0,5.39,0.52,0.5,0,0,110.72,0,0,0,0,0
 84-94,0,3.32,26.52,0,0,0,6.47,0,0,2.42,0,19.18,0.77,2.42,2.47,1.29,5.97,0,6.76,0,0,217.42,0,0,0,0,0
 96-106,0,1.1,36.04,8.57,1.06,8.42,11.57,0,2.42,4.24,0,28.53,1.87,9.23,3,4.99,8.03,0,26.92,0,0,314.76,0,0,0,0.75,0
108-118,0,0.98,41.59,0,5.41,0,16.39,0,4.8,13.73,0,20.59,1.2,6.19,2.42,2.08,9.22,0,6.79,0,0,171.49,1.41,0,1.68,4.53,0
120,0,0,15.96,0,0,6.14,18.47,0,0,12.9,0,17.84,7.81,7.39,7.16,4.28,4.27,0,3.82,1.16,0,136.01,0,0,0,0,0
