stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,0,1.18,0.84,0,0,0,0,0,0,0,0,2.09,0,0,0,29.14,0,1.43,0,0,0,27.06,0,0.88,2.3,0,0,0,0
 24-34,0,2.29,0,0,0,0.75,0,0,0.74,0.8,2.88,0.67,4.54,0,0,0,3.41,0,0,9.02,0,0,2.68,142.51,0,42.26,0,0,0,143.79,1.9,0.92,19.41,0,0,0,0
 36-46,0,0,0.92,0,0,13.52,0,0,0,18.78,2.35,0,2.22,0,0,0,3.76,15.36,0,10.53,0,1.94,0,505.44,0,82.86,0,0,0,109.75,0,0,112.13,0,0,0,0
 48-58,0.44,0,0.9,0,0,143.31,0.37,0,1.83,40.25,7.72,0,0.85,0,0,0,8.48,2.2,0,11.41,0,1.62,0.52,1156.81,0,36.11,0,0,0,47.57,0,0,220.09,1.98,0,0.78,8.28
 60-70,0,0,0,0,0,401.87,0,0.63,0,62.28,17.71,0,5.09,0.72,0,1.16,27.36,0,0,37.25,0,1.82,0,2047.39,0,132.62,1.26,2.7,0,49.89,0,0,288.32,0.67,3.16,0.61,16.94
 72-82,3.52,0,12.19,8.08,0,739.32,0,1.14,3.92,102.14,20.66,0,11.49,0,0,0,41.15,7.38,0.49,68.05,0,6.07,1.23,2543.63,0,168.22,3.08,9.39,0,61.21,3.03,0,342.19,4.96,8.42,6.75,19.69
 84-94,13.41,0,15.07,0,0,488.23,0,0,0.83,95.26,47.35,0,9.21,2.2,0,0,53.22,5.16,0.96,24.1,0,5.29,0,1924.81,2.7,253.2,0,2.97,0,109.25,0,0,226.76,1.87,5.38,14.58,16.95
 96-106,5.09,0.74,12.99,6.67,0,594.11,0.68,0.98,4.69,90.2,50.54,0,13.7,0.64,0.77,0,88.79,0,0,26.84,0,6.73,0.63,1588.34,0.93,273.27,0,12.48,0,139.02,0,0,137.73,0.69,29.57,22.35,40.47
108-118,5.69,2.61,33.75,2.3,1,519.97,2.6,0,3.59,128.56,53.52,0,7.96,0.56,0.46,5.67,63.09,3.79,0,37.7,0.77,8.87,1.91,2934.01,3.13,251.91,0,5.75,0,117.17,0,0,92.77,0,13.03,31.16,24.32
120,22.97,0,48.97,3.18,0,524.26,9.8,2.35,0,159.59,39.01,0,7.77,0,0,3.04,52.77,1.28,0,33.35,0,22.14,0,5125.45,0,382.44,3.68,2.29,4.99,105.41,0,0,73.78,0,30.97,51.09,41.04
