stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.34,0.99,0,0,0,0,0,0,0,0,0,4.04,0,0,38.25,2.41,0,0,0,0,3.03,0,1.94,10.98,0,0,0,0
 24-34,0,2.91,0,0,0.63,0,0,0,0,0,0,3.3,0,0,65.25,0,0.72,0,0,0.7,0,0,0.71,7.6,0,0,0,0
 36-46,0,7.93,3.44,0,1.15,0,0,0,0,0,0,1.49,0,0,45.57,0,0,0,0,0.58,0,0,0,11.96,0,0,0,0
 48-58,0,20.92,0,0,0.63,0,0,0,0,0,0,10.92,1.2,1.37,31.84,0,0,0,0,0.43,0,0.4,0,12.88,0,0,0,0
 60-70,6.6,13.78,0,0,3.14,0,0.76,0,0,0,0,5.41,0,0.83,42.11,0,0.58,0,0,0,0,0,0,3.08,0,0,0,0
 72-82,0,14.28,0,2.31,3.02,0,2.13,0.52,0,1.07,0,5.97,0,0,25.49,0,0,0,0,0.7,0,0,0,6.38,0,0,0,0
 84-94,2.02,16.49,0,0,0,0,0,0.67,0,0,0,4.17,0,0,7.85,0,0,0,7.92,0,0,0,0,2.28,1.13,1.93,0,0
 96-106,0,3.35,0,0,0,0,1.57,0,0,0,5.25,3.54,0,2.12,28.44,0,0,0,0,1.2,0,0,0,0,0,0.65,0,0
108-118,0.48,6.73,0.72,0,8.61,0,0,0,0.98,0.85,0,0,0,0.75,15.73,0,0,2.33,0,1.66,0,0,0,0,0,0,0,1.94
120,6.69,2.27,0,0,11.66,1.52,0,0,0,0,0,2.34,0,0,47.82,0,0,0,0,0,0,0,0,0,12.35,0,1.45,0
