stage,axial,blastomeres,eye,hatching_gland,neural,notochord,paraxial_mesoderm,pronephros
  3-4,19.82,48.84,0,0,0,0,0,0
  5-6,11.42,95.05,0,0,7.33,0,0,0
  7-9,11.05,0,8.99,8.95,41.97,4.97,6.37,0
 10-12,0,0,3.23,0,30.42,12.58,0,6.08
