stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.51,1111.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.31,0,0,0,0,0,0,0,0,0
  5-6,15.24,508.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,7.18,0,0,0,0,0,0,0,0,0
  7-9,8.47,19.92,0,40.65,0,0,0,55.11,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,220.06,27.48,0,0,107.84,0,0,8.66,0,0,0,0,0,0,0,0
 10-12,0,18.33,0,0,0,0,0,5.21,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,203.45,3.44,0,0,88.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,3.63,4.79,0,5.52,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.3,46.78,0,0,0,0,0,0,0.9,0.96,0,2.25,6.59,0,0,0,0
 24-34,0,0,0,0,1.36,0,0,5.23,0,0,2.41,0,0,0,0,0,0,0,0,6.63,0,0,63.08,0,0,3.22,0,0,0.61,0,0,0,0,9.55,0,0,0,0
 36-46,0,0,0,0,0.79,0,0,16.35,0,0,3.1,0,0,0,0,0,0,0,1.48,0.61,0,0,40.09,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0
 48-58,0,0,0,0,0.4,0,0,31.61,0.93,1.16,2.48,0,0,0,0,0,0,0,3.52,7.71,0,0.37,32.6,0,1.85,0,0,0,0,0,0,0,0,2.35,0,0.64,0,0.55
 60-70,0,0,0,0,0,0,0,48.24,0,0,3.11,0,0,0,0,0,0,0,6.33,6.15,0,0,5.72,0,0,0,0,0,0,0,0,0,0,4.88,0.9,0,0,0
 72-82,0,0,0,0,0,0,0,19.7,0,0,1.37,0,0,0,0,0,0,0,0,6.25,0,0,10.07,0,0,1.58,0,0,0,0,0,0.57,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,20.78,0,0,0,1.2,0,0,0.6,0,0,1.62,0,3.8,0,0.98,13.83,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.8,11.42,0,0,1.13,5.11,0,0,0,0,0,0,0,0.76,1.42,1.18,14.75,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0.93,1.22
108-118,0,0,0,0,0.67,0,0,3.84,0,0,2.07,0,0,0.83,1.34,1.58,0.45,0,0,2.55,0,1.04,11.65,0,0,0,0,0,0,0,0,0,0,2.21,0,0.42,0,0
120,0,0,0,0,0,0,0,4.19,0,0,6.25,1.62,0,0,0,0,0,0,0,0,0,1.9,53.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
