stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,immune,ionocyte,neural,periderm
  5-6,20.1,0,0,0,0,0,0,0,6.94
 10-12,0,0,0,0,0,0,0,14.27,0
 14-21,0,0,3.84,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.9,0.96,0.75
 48-58,0,0,0,0.67,0,0,0,0,0
 72-82,0,0,0,0,0,0.83,0,0,0
 84-94,0,0,0,3.03,0,0,0,0,1.05
 96-106,0,0,0,1.15,2.7,1.84,0,0,0
108-118,0,0.71,2.05,1.75,2.78,4.15,0,0,0
120,0,0,0,0,24.24,4.45,0,0,0
