stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,3.93,0,3.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0.98,0,0,0,3.95,0,0,0,0,0,2.02,2.66,0,0,3.33,0,0,0,0,0
 24-34,0,0,0.68,1.82,0.67,0,1.08,0,0,0,0,4.36,0,0.86,0,0,0,0,105.9,0,2.33,0,0,2.17,30.11,0,0,0,0,0,13.39,0,0,0,7.1,0,0,0,0,0
 36-46,0,0,5.48,0,0,0,10.21,0.64,0,0,0.96,12.83,0,0,0,0,0,0,159.19,0,2.11,0,0,2.52,30.64,0,2.68,0,0,0,3.34,0,0,0,4.48,0,0,0,0,0
 48-58,0,0,0,0,0.48,0,8,0,0,0,1.7,8.01,0,0,0,0,0,0,247.29,0,6.03,0,0,2.1,29.8,0,0,0,0,0,1.9,0,0,0,1.62,0,0,0,0,0
 60-70,0,0,0,2.96,0,0,15.23,0,0,0,12.51,0,0,0,0,0,0,2.13,445.52,0,11.64,0,0.68,2.02,26.46,0,0.63,0,0,0,2.8,0,0,0,1.02,0,0,0,0,0
 72-82,0,0,0,0,1.31,0,45.04,0,0,0.81,18.61,0.69,0,0,0,0.66,0,0,1290.69,0,49.12,0,2.13,2.43,87.4,0,0,0.76,0,0,9.83,0,0,0,5.02,1.16,0,1.9,0,3.44
 84-94,0,0,0,5.41,2.85,0,84.25,1,0.86,0,12.3,13.83,2.66,0,2.05,0.61,0,0.67,4723.64,0,66.95,0,0,8.81,175.55,0,2.48,1.3,0,0,8.09,0,0,0,15.69,0,0,0.57,0,0
 96-106,0,3.54,0,22.27,107.46,2.61,301.02,3.73,7.75,3.52,78.96,14.82,0,3.39,12.49,5.1,2.59,1.64,7475.34,0,88.29,2.38,2.24,8.54,1005.15,5.49,5.43,5.2,0,6.59,70.8,0,0,0.74,15.11,2.92,4.12,13.34,1.62,15.13
108-118,0,1.82,0,39.84,17.18,12.1,693.98,0.55,2.14,2.19,62.07,12.7,0,1.9,7.43,3.83,10.47,0.84,16711.35,5.81,129.89,6.29,5.82,8.02,918.87,2.22,2.26,7.78,0,3.86,43.41,0,5.09,1.36,10.83,3.32,2.03,8.16,1.07,7.25
120,1.12,0,0,66.91,31.62,0,378.31,2.85,0,0,63.43,11.28,0,0,13.11,3.9,1.62,0,7848.37,0,123.54,0,13.3,1.59,584.34,1.17,16.43,8.41,0,0,13.71,0,1.04,0,0,0,4.4,33.61,17.7,7.58
