stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,21.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,0,0,0,5.88,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,16.52,0,0,0,1.45,0,0,0,0
 36-46,0,0,0.69,1.12,0,0,0,0,0,0,0,4.35,0,0,0,0,0,20.05,0,0,2.38,0,4.02,0,1.04,0
 48-58,0,0,0.37,0,0,0.52,0,0,0,2.93,0,0.38,0,0,0.88,0,0,62.53,0,0,0,0,1.73,0,0,0
 60-70,0,0,0.71,0,0,8.42,0,0,0,1.65,0,0,0.58,0,4.8,0,1.01,161.45,0,0,0,0,9.52,0,0,0
 72-82,0,0,0.66,0,0,4.44,0,0,0,1.26,0,0,0,0,15.66,1.14,0,175.03,0,0,0,0,3.78,0,0,2.74
 84-94,0,1.29,6.89,0.69,0,14.8,0,0,0.93,1.86,0,0,0.58,2.52,22.98,1.32,0,143.99,0.89,1.75,1.58,0,2.93,0.83,1.66,0.72
 96-106,0,0,1.67,0,2.96,17.38,0,0.69,0,0.97,0.8,0.99,0,0,21.4,0.7,0,169.44,0,0,0.6,0,4.4,0,5.43,8.57
108-118,0,0.47,8.82,0,12.86,21.98,4.79,0,0.71,5.79,4.72,0,0,0.42,15,0.56,0,146.21,0.77,0,1.71,0,0,1.29,5.01,0.57
120,0,0,5.2,0,3.23,9.66,0,0,0,0,0,0,1.06,0,28.94,0,0,384.79,0,0,0,0,9.81,0,0,3.36
