stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,33.03,39.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,3.95,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,8.35,0,0,0.77,0,0,0,0,0,2.23,0,0,2.3,0,0,0,0,0,0,0,0
 60-70,0,0,0,5.42,0,114.42,0,0,0,0,0,0,0,0,2.64,0,0,12.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.88,0.9,366.05,0,0,2.72,0,0.6,0,0,0,10.92,0,0,40.9,0,0,0,0,5.56,0.51,2.23,0
 84-94,0,0,0,0.7,0,295.87,0,0,2.16,0,0,0,0,0,6,0,0,22.51,0,0,0,0,3.31,0,3,0
 96-106,0,0,0,7.47,5.59,1324.19,2.04,0,8.4,0,0,1.25,0,0,11.31,1.64,0,43.86,0,0.6,0.58,1.79,0,0,1.31,0.73
108-118,0,0,5.16,3.53,0,1601.81,0,0.52,5.85,0.72,0,2.63,0,1.34,12.39,0,0.54,63.13,0.69,4.87,1.08,0,0,1.11,0.82,0
120,0,0,7.63,3.27,2.54,2154.95,0,0,12.03,9.91,0,0,1.48,0,4.59,0,0,132.99,0,1.59,0,0,0,0,0,0
