stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.9,1402.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.69,0,0,0,0,0,0,0,0
  5-6,33.9,936.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.16,0,0,0,14.25,0,0,0,0,0,0,0,0
  7-9,0,5.56,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,103.29,0,21.46,0,0,14.67,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,30.07,0,20.14,0,0,0,8.3,0,0,0,0,0,0
 14-21,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,2.17,3.47,0,0,0,0,0,0,2.32,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.22,0,0,0,0,0,0,6.68,0,0,0,8.91,0,0,0,0,0,0,0,0,0,4.97,0,0
 36-46,0,0,0,0.79,0,0,1.59,0,0,0,0,0,0,1.48,0.65,0,0.67,19.17,0,0,0,0,0,0,3.91,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.93,0,0.41,0,0,0,0,0.88,0,0,0,2.1,0,0,0,0,0,0,1.61,0,0,0.55,0,0
 60-70,0,0,0,0,0,0,3.87,0,0,0,3.2,0,0,3,0,2.11,0,3.41,0,0,0,0.63,0,0,1.39,0,0,0,0,0
 72-82,0,0,0,0,0,0,7.15,2.59,0,0,3.19,0,0,7.21,0,0,0,7.27,4,0,0,0.93,0,0,5.82,0,0,2.63,0,1.1
 84-94,0,0,0,0.67,0,0,4.19,0,0,0,1.69,0,0.64,8.94,0,0,0.57,0,0,0,0.77,0,0,0,0,0,2.35,2.49,0.89,0
 96-106,0,0,0,0,0,0,1.49,1.42,1.98,0,4.04,0,1.36,13.75,0,0,0,2.42,0,0,0,0,0,0,0,0.61,0,2.67,0,0
108-118,0,0,0.58,1.1,2.32,0.76,0,0.46,3.19,0,3.65,0,0,14.4,0,0,0,1.27,0,0,0,2.62,0,0,0,0,0,2.48,0.57,2.63
120,0,0,0,2.48,0,0,2.92,0,0,2.95,5.42,1.94,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,1.33,0,0
