stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.32,124.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.19,207.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.32,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.73,9.35,0,11.07,0,0,0,70.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.48,5.34,0,0,69.21,0,0,5.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.39,0,0,0,52.48,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,302.72,0,0,0,52.66,0,0,9.99,9.31,23.4,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.33,27.2,6.49,0,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0.87,9.24,0,10.78,108.94,0,1.07,1.05,0,0,1.44,0,2.19,0,0,12.24,25.97,0,0,3.33,0,0
 24-34,0,0,0,0,11.61,0,0,23.22,0,0,0.8,7.52,0,0,2.75,0,0,0,0,0,0,37.91,0,16.47,273.65,5.58,2.23,1.79,0,0,0,0,0,0,0,5.29,60.3,0,0,18.84,0,4.12
 36-46,0,0,0,0,10.16,0,0,101.05,0,0,0,108.68,0.56,0,6.49,0,0,0.86,0,0.66,2.7,49.22,1.34,7,585.14,1.32,6.6,0,0,0,0,0,0,0,0,0,120.57,0,0,7.28,0,3.23
 48-58,0,1.29,0,0.44,4.52,1.92,0,165.98,0.6,0,1.48,177.91,0,0.93,2.41,0,0,1.14,0,0.99,13.9,73.07,0.46,9.61,493.19,6.45,1.14,0.37,0,0.97,4.8,0,0,0,3.91,0,150.37,0,0,12.22,0,0
 60-70,0,0,0,0,8.08,0,0,203.15,0,2.35,0,215.7,0,0,0,0,0,1.63,1.22,0,0,99.35,1.9,5.6,599.04,2.16,0,0.57,0,1.03,2.8,0,0,0,4.7,0,84.35,0,7.79,3.96,0,0
 72-82,0,0,0,0,5.98,0,0.9,159.83,0,6.43,1.72,135.14,0.72,0,4.33,0,0.53,0,2.41,0,0,98.14,5.2,11.06,503.32,1.23,0.6,2.56,0,0,1.84,0,0,0,0,0,50.92,1.68,0,28.68,2.66,0
 84-94,0,0,0,0,13.12,0,0,107.26,0,0,6.06,101.43,0,0,5.61,3.58,0,0,1.3,0,0,66.77,5.55,5.86,353.27,0.57,0,5.07,0,0,2.18,0,0,0,0.97,0,18.06,0,1.28,12.07,3.83,0
 96-106,0,0,0.61,0,4.19,0,0.94,76.45,0,1,3.49,106.43,1.36,0,2.34,1.21,1.98,1.2,0.57,0.93,0,75.01,2.93,5.02,384.48,0.57,3.19,1.51,0,0,1.32,0,0,0,0,0,17.37,0,0.96,19.51,2.79,0.72
108-118,0,0,0,0,6.18,0,1.7,73.1,0,0.59,0.94,134.96,0,0,2.15,0,0,1.07,0,0,1.66,72.88,2.11,4.56,465.72,3.12,2.75,1.97,0,2.26,1.25,0,0,0,0,0,8.51,0.63,1.51,13.03,1.73,0
120,0,0,0,0,14.41,1.34,0,56.88,1.99,0,1.69,121.67,0,0,0,4.22,0,6.85,0,0,1.51,104.37,0,0,713.27,2.06,0,0,0,0,3.09,0,0,0,0,0,18.88,0,5.53,27.49,0,0
