stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.88,0.89,0,0,0,0,0,0,0,0,0,0,4.23,0,1.9,4.88,0,0,0,0,2.1,0,4.8,0.84,0,0,0,0,0
 24-34,0,0,0,0.8,0,0,2.6,0,0,0,0,0,0,0,2.35,12.75,0,0,0,0,0,0,0.93,5.47,0,0,2.07,0,0
 36-46,12.8,0,0,0,0,0,3.64,0,0,0,0,0,2.04,1.07,0,36.88,2.72,3.22,0,0,0,0,0,9.39,0,0,0,0,0
 48-58,0.39,0,0,7.03,0,0,0,0,0,0,0,0.57,5.29,0,0.51,29.57,0,3.6,0,0,0,0,0,7.6,0,0,1.73,0,0
 60-70,0,0,0,17.84,0,0,0.59,0,0,0,0,0,0.91,0,0,28.83,0,1.15,0,0,0,1.17,0,7.84,0,0,0,0,0
 72-82,0,2.04,0,26.2,0.8,0.69,8.96,0.59,0,0,0,1.16,18.13,0,0,57.39,0,3.66,0,0,0,0,0,6.7,0,0,6.38,0,0
 84-94,0,4.99,0,22.62,0,0,7.04,0,4.17,0,0,0,0,1.42,0,28.73,0,0.56,0.72,3.72,0,0,0,0,1.01,4.61,0,0,0
 96-106,3.68,1.56,0,2.49,0,2.03,2.72,0,0,0,0.76,0,7.46,0.67,0,13.99,0,2.14,0,1.27,0,0,0,2.51,0.71,0,3.34,0,0
108-118,3.27,6.2,0,15.1,0,0.56,0.96,0.43,0,2.94,0,1.01,7.55,0,0,29.75,0,0,1.35,0.52,0,0,0,2.81,2.99,0,0.55,0.89,1.14
120,3.86,0,1.14,16.13,0,0,0,2.89,0,0,0,0,19.91,0,0,47.64,0,0,0,0,0,0,0,0,0,0,16.2,0,0
