stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.41,15.4,187.86,95.99,0,90.93,0,2.05,0,63.68,14.25,6.8,3.45,0,1.03,0.87,0.84,0,1.8,137.7,0,0,109.5,1669.04,66.58,15.92,15.22,65.88,0,0.85,1.4,194.22,25.52,6.48,167.88,738.95,0,0,16.11,0,0.84
 24-34,0.84,2.74,36.92,11.26,0,231.38,0,6.85,3.17,71.82,2.26,0,8.17,1.29,2.29,1.15,7.49,2.96,17.77,209.52,0,0,92.94,3314.36,27.7,57.45,26.18,0,0,7.56,0,2.03,10.41,0.65,33.17,898.96,0,0,70.57,0,8.15
 36-46,0,0,17.12,23.19,0,575.25,0,7.82,9.42,101.83,0.56,0,9.2,2.23,0.57,1.49,0.6,0,15.63,312.38,0,3.76,58.47,4970.55,17.69,46.71,15.22,0,0,3.8,0.78,0,17.5,1.34,1.09,1151.38,0,1.04,32.2,0.78,16.07
 48-58,0.88,0,59.97,7.38,0,1352.28,3.34,22.77,14.51,243.29,0.58,0,13.12,4.42,3.89,4.57,4.25,2.84,6.46,326.61,3.74,10.97,67.6,5692.24,15.01,39.11,13.74,4.77,1.51,13.94,0,0,13.87,8.67,0,1046.62,0,1.12,69.93,0,12.2
 60-70,1.52,0,44.87,4.7,0,2062.94,1.34,8.67,11.38,185.15,4.15,0,13.83,12.8,0.58,0.67,2.27,0,6.05,492.11,6.36,19.21,32.22,4598.9,17.08,29.06,2.11,0,3.24,24.87,0,0,0,2.66,0,727.2,0,9.25,49.07,3.76,28.73
 72-82,3.26,3.31,37.75,73.35,0,2320.65,2.28,15.03,20.8,198.06,5.48,0,8.34,5.18,1.95,7.93,10.71,9.62,6.93,584.09,0,28.63,44.45,4836.82,3.86,46.66,22.08,0,9.9,3.43,0,0,2.9,0,0,522.16,4.49,13.33,113.94,14.77,25.9
 84-94,9.45,0,58.2,85.23,0.6,1738.95,4.08,2.28,15.99,237.92,6.07,0.91,11.72,14.76,4.99,7.68,6.82,2.5,19.97,519.39,0.62,20.4,31.05,3115.99,6.52,40.16,47.16,0,2.09,10.47,0,0,12.29,2.76,0,391.89,2.34,18.88,99.41,13.42,34.07
 96-106,5.22,0,56.39,93.42,0.6,1343.01,1.9,5.49,14.73,219.46,13.41,1.06,6.67,18.32,1.51,2.82,11.21,18.86,0.68,438.63,0,12.69,23.34,2432.29,3.78,46.68,27.88,0,12.92,14.13,0,0,4.48,1.96,0,171.54,5.51,10.58,79.87,21.93,18.94
108-118,5.09,0.61,59.01,82.8,11.66,1265.58,9.47,31.24,23.79,203.18,4.86,0,3.3,16.82,3.54,20.5,9.13,0.42,5.99,496.18,12.72,28.98,42.45,3039.16,11.81,53.45,23.72,8.11,10.61,1.54,0,0,6.81,4.13,0,103.32,2.02,11.18,99.01,5.35,21.03
120,8.66,0,40.8,132.18,1.91,1107.09,0,7.58,20.13,276.11,10.31,0,1.17,27.35,4.91,13.69,2.72,3.09,0,442.28,1.63,53.55,44.05,3614.21,18.73,57.7,52.46,0,0,15.9,0,1.12,6.18,1.69,0,134.26,18.69,5.66,104.7,18.45,1.1
