stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vasculature
  5-6,36.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.94,0,0,5.75,0,0,0,0,0,0,0,4.41,0,14.37,0,0,0,0
 10-12,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,61.48,0,0,0,0,1.42,0,0
 24-34,0,0,0,0,0,0,0,0,2.54,0,0,1.61,0,0,93.42,0,2.43,0,8.94,0,0,6.31
 36-46,0,0,0,0,0.98,0.81,1.8,0,1.78,0,0,0,0,0,78.49,0,0,0,0,0.74,0,4.09
 48-58,0,0,0,0,3.78,0,4.72,0,0.38,0,0,1.42,0,0.8,139.56,0,0,0,0,7.5,0,5.18
 60-70,0,0,0,0,10.63,0,1.14,0,1.09,7.5,1.2,0,1.6,0,193.27,0,0,0,0,0.96,0,1.73
 72-82,0,0.76,0,0.54,25.15,0,0.83,0,0,0,0,4,0,0,169.35,0,0,0,0,0,0,0.66
 84-94,0,0,0,1.63,7.24,0,5.6,0,0,0,0,0.96,0,0,159.84,0,0.7,0,0,4.05,2.36,0
 96-106,0,0,0,0,12.85,0,0,0,0,0,0,0.82,0,1.48,174.79,0,0,0,0,0,0,0
108-118,0,0,0,0,8.55,0,1.77,0,0,0,0,1.75,0,0,241.13,0,0,0,0,1.88,0,0
120,0,0,0,1.21,6.79,0,2.61,0,0,0,0,1.89,0,0,226.1,0,0,0,0,0,0,0
