stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,149.55,3433.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.41,0,0,0,0,0,0,0
  5-6,69.61,745.4,0,0,0,0,0,0,8.74,0,0,0,0,0,21.86,0,0,17.79,0,0,0,0,0,0,0
  7-9,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,71.6,0,13.48,0,12.44,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.05,0,5.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0
 24-34,0,0,0,2.85,0,0,0,0.69,0,1.04,0.69,0.6,0,0,0,0,0,0.97,0,0,0,0,0,0,0
 36-46,0,0,0,1.55,1.17,0,0,0,0,1.06,0,1.49,0.56,0,3.8,2.11,0,6.67,0,0,2.1,0,0,2.69,0
 48-58,0,0,0,0,2.44,0,0,0,0,0,0.93,0,0,0,4.89,0,0,0,0,0,1.26,0,0,0,0
 60-70,0,0,0,0,32.64,0,7.67,0,0,0,0,4.81,0,0,5.04,0,0,0.6,0,0,0,0,0,0,0
 72-82,0,0,0,2.69,11.61,0,1.09,0,0,0,4.65,4.1,2.89,0,1.29,0,0,0,0,0,1.66,0,2.15,0,3.99
 84-94,0,0,0,1.59,31.43,1.52,0.97,0,0,0,0.61,11,0,0,0,2.19,0,0,0,0,0,0.85,0,0,3.34
 96-106,0,0,0,5.87,38.14,0,0,0,0,0,4.32,19.41,4.9,0,5.89,0.85,0,0,0,0,0,0,1.6,0,2.21
108-118,0,0,0,5.78,79.48,0,1.64,0.62,0,0,2.41,29.19,1.08,1.73,2.6,3.71,0,1.27,0,0,0,0,3.87,0,1.02
120,0,0,0,1.28,28.44,8.68,10.42,1.53,0,5.1,3.79,20.85,3.7,0,0,2.59,0,0,0,0,0,0,0,0,6.57
