stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.89,0,0,0,0,0,0,0,0,8.02,0,0,0,0
 24-34,0,0,0,0,0.63,0,0.63,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.54,0,1.77,0,0,0,0
 60-70,0,0,0,0,2.47,0,0,0,0,0,1.25,0.62,0,0,1.11
 72-82,0,0,0,0.76,0,0.97,0,0,2.65,0,0,0,0,0,0
 84-94,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.8,0,0,0,0,0,0.56,0,0,1.64,0
108-118,0,0,0.75,0,0,0,0,0.82,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0
