stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,53.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,173.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0
  7-9,6.52,4.16,0,0,0,0,0,8.3,0,0,0,0,0,0,42.09,0,8.24,0,0,0,0
 10-12,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,18.67,0,9.63,0,7,0,0
 14-21,0,0,2.01,0,0.82,0,0,0,0,0,1.26,0,0,1.17,12.99,0,0.85,0,0,7.13,1.01
 24-34,0,0,0.66,0.6,1.29,0,0,0,0,0.6,1.29,0,0,1.98,36.61,0.64,0,1.64,0,9.29,0
 36-46,0,0,0,0,3.49,0,1.02,0,0,0,0.7,1.17,0,0.7,13.19,0,0,0,0,6.54,0
 48-58,0,0,0.42,0,7.19,0,1.68,0,0,0,0,1.05,0,0.79,13.44,0,0,1.25,0,0.52,0
 60-70,0,0,0,0,4.44,0.9,5.03,0,0,0,0,3.96,0,0,4.96,0,0,1.52,0,1.39,0
 72-82,0,0,0,0,3.16,0,0.68,0,0,0,0,2.43,0,0,4.26,0,0,0,0,1.62,2.66
 84-94,0,0,0,0,0,0,0,0,0.99,0,0,0.77,0.57,0,2.66,0,0,0,0,0,0
 96-106,0,0,0,0,0.57,0,0,0,0,0,0,2.56,0,0.79,6.43,0,0,0,0,0,0
108-118,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0.6,3.19,0,0,2.01,0,0,0
