stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,123.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,92.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.9,0,0,0,27.74,0,0,0,0,0,0,0,0,0,0,53.59,5.22,0,10.99,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.49,0,0,21.94,0,0,11.84,0,0,0,0
 14-21,0,0,1.99,0.94,0,0,1.21,0,0,0,0,0,2.49,0,0,28.44,0,0,0,0,3.13,0,3.7,7.09,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,9.14,0,0,0,0.79,0,0,0,0,0,0
 36-46,0,0,0,0,11.73,0,0.85,0,0,0.95,0,1.38,0.79,3.23,0.68,25.8,0,0,0,0,0,0,0,3.55,0,0
 48-58,0,0,0,0,5.84,0.81,1.88,0,0,0,0,0,0,0.46,0.58,8.36,0,0.38,0,0,0,0,0,3.41,0,0.92
 60-70,0,0,0,0,9.76,0,4.41,0,0,0,0,0,2.65,0,0,4.93,0,0,0,3.67,0,0,0,0,1.9,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.61,0,4.66,0,0,10.32,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.12,0.8,0.7,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0.62
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.55,0,0,1.47,0,0,0,0,0,0.81,0,0,1.42,0,0,0,0.45,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0
