stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.03,0,1.48,0,0,0,1.87,0,0,0,0,8.09,0,0,0,4.64,0,0,0,1.98,0,2.25,1.85,0,0,0
 24-34,0,0.65,0,2.44,0,0,0,0,0,0,0,0.6,10.33,0,0,0,16.36,1.77,0,1.4,0,4.88,0,0.6,0.68,0,0.75
 36-46,0,8.88,0,3.96,0,0,0,0,0,0,0,0,0.57,4.67,0,0.73,2.98,0,0,2.83,0,25.63,0,0,3.88,0,0
 48-58,0,1.9,0,0.37,0,1.92,0.38,0,1.78,0,0,0,2.39,0,0,0.58,19.31,0,0,0,0,5.04,0,0.41,0,0,0
 60-70,0,9.33,0,0,1.61,0.72,0,0,0,8.47,0,0,0,0.73,5.13,0.6,1.73,0,0,7.85,0,0.76,0,0,0,0,0
 72-82,0.56,0,0,4.49,0,3.04,1.15,0,0,0.7,0,1.05,3.53,15.9,0,1.85,9.6,0,3.1,4.77,0,4.46,0,0,1.68,0,0
 84-94,0,0,0,0,0,1.86,0,0,0,2.33,1.54,0,2.32,1.42,0,1.58,9.62,0,0,0,0,6.88,0,0,0,0,0
 96-106,0,2.76,0,0,0,3.38,0,0,0,0.59,0,0,5.25,1.32,0,0,3.08,0,0,2.01,0,0,0,0,0,1.12,0
108-118,0,0.49,0,0,0,1.46,0,0,0,0,0.42,0,3.37,1.18,0,0,1.42,0,0,1.36,0,1.26,0,0,0,0,0.6
120,0,4.75,2.42,0,0,0,9.27,0,0,14.09,0,0,26.86,0,2.75,0,0,0,0,0,0,10.84,0,0,0,0,0
