stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,50.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.63,0,8.27,0,0,0,0,0,0,0,13.89,22.21,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.24,5.7,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.04,0,12.89,0,0,0
 48-58,0,0,0,0,0,0,1.03,0,0,0,1.08,0,0.4,0.55,0,2.55
 60-70,0,0,0,0,0,1.33,0,0,0,1.25,1.1,0,6.61,0,0,0
 72-82,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.9,0,3.75,0,0,0
 96-106,0,0,0,1.95,0,0,0,0,1.25,0,0,0,0.58,0,0,0
108-118,0,0,0,0,1.62,0,0.46,0,0,0,0,0,0,0,1.49,0
120,0,0,0,1.46,0,0,0,0,0,7.72,9.67,0,0,0,0,0
