stage,eye,glial,mesenchyme,neural,spinal_cord
 36-46,0,0,0,2.73,0
 48-58,0,0,0,1.61,0.53
 72-82,3.16,0.73,0,0,0
 84-94,0,0,0,1.21,0
 96-106,0,0,0.57,0,0
108-118,0,0,1.22,0,0
