stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,iridophores,mesenchyme,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  7-9,0,0,3.47,0,0,0,0,0,16.82,0,3.32,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.66,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.97,0.98,0,0,2.28,1.21,0
 24-34,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0
 36-46,0,0,0,1.42,0,0,0,0,1.94,0,0,0,0,1.41,0
 48-58,0,0,3.8,0,0,0,1.9,0,3.48,0,0,0,0,0,0
 60-70,0.73,0,19.73,0,0,0,0,0.75,3.98,0,0,0,0,0,0
 72-82,0,2.18,8.55,0,1.09,0.74,0,2.39,3.83,0,0,1.54,0,0,0
 84-94,0,2.73,0.9,0,0,0,0,0,9.64,0,0,0,0,1.21,0
 96-106,0,8.89,9.39,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,2.47,6.99,0,0,0,0,0,0,0,0,5.53,0,0,1.58
120,0,0,0,0,0,0,0,21.39,0,0,0,0,0,0,0
