stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,40.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.3,0,0,0,0,0,0,0,0,0,0,17.82,0,0,0,15.48,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.21,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0.86,0.83,2.64,5.43,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,1.26,0,14.26,0,0,0,0,0,0,5.31,3.49,0
 36-46,0,0,0,0,0,0,0,0,3.34,0,0,3.83,0,18.55,0,0,0,0,0,0,2.75,0.81,0
 48-58,0,0,0.48,15.46,0,0,1.82,0,0,0,0,4.74,0,11.1,0,0,0,0,0,0,7.4,0.97,0
 60-70,0,0.7,2.29,6.4,0,0.84,4.51,0,2.37,0,0,11.6,0,22.19,0,0,0,0,0,0,0.68,0,0
 72-82,0,0.56,0,8.61,1.27,0,4.46,0,0.58,0,0.98,21.02,0,27.89,1.28,0,0,0,0,0,0,0.73,0
 84-94,0,0,0,8.4,0,0,2.2,0,3.07,0,0.9,8.88,0,24.4,2.34,0,0,0.91,0,0,1.09,4.92,0
 96-106,0,1.08,0,8.02,0,0,2.91,3.21,11.5,0,1.03,21.63,0,22.07,1.45,0,0,0,0,0,0,1.63,1.93
108-118,0,0,0,4.24,0,0,0,8.06,2.24,5.52,5.75,12.72,0,11.35,1.6,0,0,0,0,0,1.04,0,0
120,0,0,1.69,13.54,0,0,0,0,4.74,0,1.91,12.96,0,18.06,0,0,17.18,0,0,0,1.04,0,0
