stage,blastomeres,epidermis,eye,glial,mesenchyme,mural.cell,neural,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,61.59,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.66,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.17,4.33,0,0,0,0
 10-12,0,0,0,0,0,0,19.39,6.71,0,0,0,0
 14-21,0,1.19,0,0,0,0,1.09,0,1.04,0,0,0
 24-34,0,0,0,0,0,0,15.75,0,0,1.28,0,0
 36-46,0,0,0,1.35,0,0,34.59,0,0,1,0,0
 48-58,0,0,1.36,0.45,0,0,36.58,0,0,0.54,0,0
 60-70,0,0,0,0,5.8,0,12.49,0,0,0,0,0
 72-82,0,0,0,3.65,2.7,0,5.18,0,0,0,0,0
 84-94,0,0,0,0,0.99,0,2.78,0,0,0,1.23,0.61
 96-106,0,0,0,0,0,1.67,4.11,0,0,0,0,0
108-118,0,0,2.09,0,3,0.44,1.66,0,0,0,2.17,0
120,0,0,0,0,0,0,8.24,0,0,0,0,0
