stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,1.18,2.36,0,0,0,0,1.21,0,0,0,6.1,0,0,13.5,3.55,0,1.3,0,0,3.92,0,2.25,2.82,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,1.71,31.56,0,0,0,0,1.9,0,0,0,1.79,0.6
 36-46,0,1.06,0,7.39,0,1.52,0,0,0.81,0,0,0,0,24.46,0,0,0,0,0.8,0,0,0,1.5,0
 48-58,0.39,1.86,0,0,0,1.68,0,0,0,0,1.39,4.58,3.88,5.68,0,0,0,0.61,3.18,0,0,0,0.63,0.65
 60-70,9.55,6.99,1.3,0,0.78,2.33,0,1.42,0,0,0.94,0,0,3.72,0,0,0,0,0.6,0,1.84,0,0.82,0
 72-82,0,2.91,0,0,0,0,0,0,0,0,2.64,0,0.91,10.43,0,0,0,0,0,0,0,0,0,1.73
 84-94,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23
 96-106,0,0,0,0,0,2.36,0,0,0,0,3.02,0,0.96,1.86,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.62,6.82,0.67,0,0,0.5,0,1.38,0.48,8.9,0,0.43,0,1.22,1.19,0,0,0,0,0
120,0,4.36,0,0,0,4.11,0,0,0,0,1.86,0,0,7.02,0,0,0,0,0,0,0,0,0,0
