stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,183.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.48,176.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.69,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,73.53,37.78,0,0,0,0,92.58,0,0,0,0,0,21.79,0,0,0,0,0,0,0,0,0,0,1007.02,43.89,0,0,167.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.15,0,0,0,9.23,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550.62,20.71,0,0,144.59,0,0,0,0,0,0,4.47,0,0,0,0,0
 14-21,0,0,2.43,1,9.11,4.59,43.49,0,0,0,36.16,0,0,0.81,0,2.84,0,0,0,65.66,0,0,38.33,1783.33,0,4.98,48.86,17.77,0,0,9.85,2.86,0.96,13.37,513.61,0,0,0.84,0,2.05
 24-34,0,0,1.97,0.76,4.61,0,31.38,0,0,0,48.58,0.92,0,0,0.98,13.36,0,0,0,267.77,0,0,64.34,2911.03,0,4.78,15.87,0,0,4.06,0,7.33,0,5.06,802.62,0,0,12.08,0,0
 36-46,0,0,0,0,0,0,37.53,0,0.7,5.83,137.58,0,0,1.65,0.83,47.11,0,0,20.22,455.24,0,2.45,45.04,3370.98,0.85,4.9,2.78,0,0,5.29,0,0.86,0,0,766.2,0,0,1.47,0,2.24
 48-58,0,0,0,0,1.48,0,128.94,0,0.89,4.86,158.76,0,0,2.06,0,40.51,0,0,0,834.33,0,5.06,21.34,1999.36,0,4.71,3.64,0,0.61,4.56,0,0,0,0,422.83,0,5.44,1.42,0,6.81
 60-70,0,0,0,0,6.86,1.83,146.74,0,0,1.62,122.9,0,0,0,0,42.54,0,0,0,743.7,0,34.87,31.47,1580.57,2.09,1.66,13.05,0,42.54,0,0,0,0,0,181.51,0,5.13,5.7,4.32,0
 72-82,0,0,0,0,9.33,1.43,224.02,0.52,0,13.93,128.85,1.45,0,0.89,7.72,40.63,0,3.06,6.69,857.67,1.54,25.85,23.52,1539.75,0,14.02,10.21,0,91.01,0,0,0,0,0,112.92,0,26.82,10.91,6.45,0
 84-94,0,0,1.16,0,10.28,1.1,202.64,0.56,0,5.17,65.96,0.72,0,0,3.33,47.6,0,0,0,707.89,0,48.8,55.86,1050.05,1.68,3.81,4.3,0,68.53,6.41,0,2.02,1.76,0,112.66,3.4,9.98,3.06,7.97,0
 96-106,0,0,1.11,0,10.81,10.06,188.72,3.41,1.41,10.58,91.81,0,0,0,2.86,72.25,0.75,11.46,0.63,565.54,0,27.15,31.9,912.06,0,1.37,22,0,141.91,3.94,0,0,0,0,28.63,3.37,23.35,0.61,8.47,0
108-118,0,0,0,0,14.26,1.83,129.57,0.89,0,9.11,86.73,0.49,0,0,1.3,63.75,1.99,0,0,546.35,1.96,63.67,51.19,1178.93,0,10.26,7.46,0,265.03,0,0,1.97,0,0,18.92,0,16.71,8.68,16.83,0
120,0,0,0,0,14.49,5.53,165.87,9.57,1.33,0,112.2,0,0,0,0,82.38,0,5.29,0,502.27,0,0,88.43,1348.95,1.03,2.71,5.84,21.93,332.84,2.03,0,2.69,0,0,58.19,0,18.58,5.65,15.31,0
