stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,spinal.cord,vasculature
  3-4,152.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.93,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0
 10-12,0,0,8.14,0,0,0,0,0,0,0,0,0,0,61.02,0,0,0
 14-21,0,0.8,0,1.79,0,0,0,0,0,0,0,0.87,0,7.7,0,7.64,0
 24-34,0,0,0,0.67,0,2.38,0,0,0,1.05,0,2.93,0,16.9,0,3.27,1.13
 36-46,0,0,0,0,0.6,2.07,0,0,0,1.84,0,1.37,0,28.74,0,5.7,0
 48-58,0,0,0,0,0,3.38,0.81,11.08,0,2.92,0,1.44,0.43,15.96,0,10.34,0
 60-70,0,0,0,0,0,3.29,0,0,0,25.45,0,2.34,0,18.02,0,0,0
 72-82,0,0,0,0,0,1.64,0,0,1.7,3.4,0.85,3.01,0,7.41,0,0.56,0
 84-94,0,0,0,0,0,3.54,0,0,0,1.57,0,1.89,0,2.5,0,5.98,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.83,0,2.11,4.63,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0
