stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,10.21,0,0,0,0,0,0,0
 14-21,0,0.97,1.23,0,0,0,0,0,0,0,0,0,0,0,1.5,3.7,0,0,1.73,4.2,0,0,0,0
 24-34,0,2.05,0,0,0.98,0,0,0,0,0,0,3.07,0,1.34,2.9,0,0,0,0.7,1.4,0,19.91,0,0
 36-46,0,0,0,0,3.03,0,0,0.92,0,0,0,0.81,0,5.76,5.91,0,0,0,0,0,0,18.58,2.33,0
 48-58,0,0,0,0,0.45,9.56,0,0,0,0,0,5.08,0,0,11.96,0,0,0,0,1.7,0.4,14.81,0,2.1
 60-70,0,0,0,3.05,1.97,104.5,0,0,0,0.61,0,9.14,0,0,13.59,0,0,1.22,0,1.74,0,38.66,3.26,0
 72-82,0,10.26,1.54,16.22,5.77,272.41,1.1,3.21,0,0,0,35.5,0,0,19.3,0,0,0,0,4.33,0.91,57.92,5.9,0
 84-94,0,4.31,0,2.47,0,86.6,0,2.63,0,0,0,18.01,0,2.68,7.65,0,0,0,0,0,0,35.36,4.61,0
 96-106,0,1.11,0,6.76,0,167.78,0,3.49,0,0,0.61,30.78,0,0,6.07,0,0,4.1,0,0.84,0,73.13,0,0
108-118,0,0,0,4.98,1.26,127.86,0,2.2,1.01,0.48,0,41.39,7.61,1.07,5.3,0,0,13.99,0,2.5,2.33,65.2,3.32,0
120,0,0,0,0,0,85.45,0,1.54,0,0,0,11.88,0,0,0,0,0,0,0,13.46,2.93,15.91,0,0
