stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2.34,0,0,0,0,0.88,0,1.24,0,0,0,0,0,0,0,1.49,0,0,1.56,24.56,1.06,0,0,0,0.9,3.16,1.01,0,1.63,8.76,0,0,0,0,0
 24-34,0,0,30.31,0,0,3.61,0,4.03,1.51,0,0,0,0,0,0,0,0,7.13,0,0,5.06,44.75,0.59,1.03,0,4.93,0.98,0,0,0.94,0.63,15.89,0,0,0.81,0,3.11
 36-46,0,0,34.87,4.5,0,5.65,0,1.05,0.61,6.38,0,0,0.58,0.56,3.76,0,1.46,9.81,0,1.97,2.08,66.15,0,0,0,4.04,0,0,0,0,0,7.35,0,0,0,0,12.48
 48-58,0,0,41.95,0,0,13.3,1.39,1.93,1.81,7.76,0,0,0,0,0.4,0,0,11.68,0.95,0,1.44,69.96,0,1.45,0,9.61,0,0,0,0.98,0,12.56,0,0,5.68,0,0
 60-70,0,5.18,51.43,0.75,0,35.81,0.62,13.82,0,3.67,2.5,0,9.05,0,0,1.34,0,18.97,0,0,2.47,65.21,3.78,0,0.85,8.33,0,0,0,1.58,0,1.42,0,0,2.98,0,0
 72-82,0,0,21.46,0.96,0,54.05,0.91,6.97,0.83,8.12,0,0,1.46,0,0,0,0,16.56,0,0,0.95,123.13,0,2.04,1.04,0,0.85,0,0,0,0,11.57,3.4,0.91,0.68,1.24,0
 84-94,0,0,12.8,5.63,0,31.15,0,11.51,0.87,18.06,1.37,2.31,1.97,0.67,0.86,0.83,0,20.08,5.7,2.5,0,59.08,0,0,0,0.58,0,0,0,0,0,8.71,0,0,2.07,2.77,0
 96-106,0.88,0,12.34,0.57,0,44.15,0,0.89,0.82,19.75,0,0,2.9,0.79,0,0,0,16.05,0,4.1,2.25,66.29,0,0.6,1.91,1.54,0,0,0,0,0,0,2.19,1.89,0,0,0
108-118,0,0,17.51,0,14.54,29.17,0,5.31,0.43,13.11,0.63,0,2.52,8.2,0.47,0.44,1.01,16.6,0,0,1.91,58.58,0,3.5,2.77,5.85,1.26,0,0,0.56,0,22.16,0,0,6.06,0,0
120,0,0,46.71,0,0,27.57,0,8.96,0,5.99,6.22,0,3.52,0,0,0,0,19.49,0,14.27,0,186.21,0,1.32,9.37,1.89,10.73,0,0,0,0,0,0,0,0,0,0
