stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.2,540.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.3,0,0,0,0,0,0,0,0,0
  5-6,124.35,1514.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14,0,0,0,0,57.86,0,0,0,0,0,0,0,0,0
  7-9,12.86,0,0,8.27,0,0,0,15.53,0,0,0,0,0,15.66,0,0,0,0,0,0,0,0,212.78,3.34,0,0,31.25,4.34,9.8,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.21,0,0,0,25.81,0,0,0,0,0,10.63,0,0,0,0,0,0,0,0,183.36,4.81,0,0,74.93,0,0,0,27.32,0,0,0,0,0,0
 14-21,0,0,0,1.44,11.37,3.04,0,0,0,0,0,1.95,3.01,0,0,0,0,0,1.75,0,0,0,43.33,1.35,1.87,8.11,1.69,1.31,0,3.71,0.87,0.84,17.23,0,0,0.96,0
 24-34,0,0,1.4,0,5.18,2.12,0,8.68,0,0,0.83,6.12,0,0,0,0,0,0.74,4.52,0,0,3.66,117.06,0,10.25,11.63,0,1.61,0,0,0.76,1.97,22.03,0,0,0,0
 36-46,0,0,0,0,1.33,0,0,25.52,0,0,0,3.92,0.99,0,0,0,0,4.22,5.21,0,0.71,1.52,241.11,0,13.82,4.08,0,2.2,0,0,5.91,0,56.31,0,0,0,0
 48-58,0,0,0,0,6.74,0,0,60.88,0,0,0,3.68,0,0,0,0,0.51,1.49,5.69,0,0,0,151.55,0,10.85,8.71,0,0,0,0,0.79,0,16.32,0,0,0,0
 60-70,0,0,0,0,0,0,0,263.77,0,1.37,0,12.07,0,0,0,1.12,0,0,4.33,0,0,0,184.39,0,14.31,4.19,0,0.81,0,0,9.83,0,41.87,0,0.69,2.41,0
 72-82,0,0,1.58,0,3.17,0.74,1.49,142.02,0,0,0.49,8.86,7.17,0,1.07,0,2.78,0,10.83,0.89,0.77,0.73,161.14,0,20.97,9.85,0,2.79,0,0,0,0,2.11,0,3.36,2.57,2.18
 84-94,0,0,2.23,0,4.87,2.57,3.92,171.19,0.56,0,0,5.9,5.82,0,1.46,1.09,0,13.22,10.59,0,0,3,120.46,0,11.53,20.73,0,4.22,0,0,0,0,9.59,0,0,0,0
 96-106,0,0,3.77,0,7.61,0,1.05,149.27,0,2.75,0,7.53,8.77,0,1.49,2.39,1.21,10.99,4.39,0,0,1.7,114.88,0,17.65,8.89,0,11.63,0,0,0,0,6.66,0,1.15,0,0
108-118,0,0,2.53,0,9.49,4.61,8.99,133.25,1,0.65,0,6.37,3.22,0,0.73,2.62,1.58,0.97,4.14,0,0,1.1,168.04,0,14.1,6.59,0,19.02,0,0,1.69,0,12.36,3.42,0,0,1.37
120,0,0,0,0,6.28,3.75,0,155.02,1.61,5.35,0,29.65,3.59,0,5.08,0,4.72,4.37,18.48,0,0,1.58,200.82,0,2.62,28.44,0,7.64,3.07,0,0,0,0,0,0,2.09,0
