stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,taste,vasculature
  3-4,9.94,79.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.33,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,29.57,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.77,0,0,5.71,0,0,0,0
 14-21,0,0,3.45,0,1.14,0,0,1.01,0,0,0,0,0,0,0,1.77,0,0,0,1,2.27,0,0.89
 24-34,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0.89,0,34.17,0,0,0,0,2.06,0,0
 36-46,0,0,1.92,0,5.88,0,0,0,0.69,0,0,11.1,0,0,1.64,30.2,0,0,0,0,5.84,0,0.81
 48-58,0,0,0,0,5.85,0,0,1.74,0,0,0,1.37,0,0,0,10.33,0,0,0,0,1.91,0,0.69
 60-70,0,0,0,0.76,2.76,0,0,0,0,0,0,2.46,0,0,0.74,12.86,0,0,0,0,2.9,0,0
 72-82,0,0,0,0,0,0.81,0,0,0,0,0,1.14,0,0,0,3.74,0,0,0,0,3.57,0,1.38
 84-94,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,7.69,1.86,0,0,0,0,2.75,0
 96-106,0,0,0,0,5.81,0,0.6,2.22,0,0,0.95,0.96,1.61,0,0,0,0.77,0.72,0,0,1.8,0,0.6
108-118,0,0,0,0,5,0,0,0,0,0.67,0,0,0,0,0,3.65,0,0,0,0,0,0,0.74
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23,0,0,0,0,0,0,0
