stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,9.45,0,4.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,10.68,0,0,0,0,0.97
 24-34,0,0.87,0.66,0,0,2.37,0,0,0,2.16,0,0,16.88,0,27.64,0,0,4.63,0,0,0,0.67,0,16.04,1.24,0,0,0,30.21
 36-46,0,0.67,0,0,0,1.7,0,0,0,0,0,0,86.33,0.83,75.2,0.72,0,8.43,0,0,0,1.3,0,14.53,5.98,0,0,0,88.33
 48-58,0,1.75,0,0,0,18.41,0,0.37,1.41,1.36,0,0,356.37,0,46.63,1.85,0.38,18.38,0,0,0,0.91,0,5.07,3.79,0.42,0,0,157.96
 60-70,0,0,0,0,0,124.73,0,0,7.49,5.39,1.01,0,840.44,0,36.63,1.21,0,32.26,0,0,0,2.37,0,14.58,1.42,0,0,0,146.53
 72-82,0,0,0,15.98,0,124.97,0,1.27,1.92,4.86,0,0,693.61,0,13.45,5.05,0,26.59,0,4.42,0,0,0,1.7,1.41,0,0,0,54.52
 84-94,0,0,0,0,0,285.43,0.95,0,9.65,7.07,0,1.5,1016.82,4.64,49.71,7.55,0,13.31,0,0,0,4.93,1.4,16.85,1.39,0,0,5.55,99.49
 96-106,0,1.44,0,3.39,1.14,307.54,0,0,1.84,8.25,0,0,913.6,13.29,17.38,1.87,1.09,25.5,0,0,0,1.23,0,17.37,0,0,0,0,67.29
108-118,0,0,2.27,6.86,0,336.69,0,0.77,0,9.71,0.44,0,1433.12,1.78,43.71,6.79,3.4,27.81,0,0,0,1.53,0,10.88,2.77,0,0,0,67.28
120,0,0,0,0,0,204.93,0,0,0,20.66,0,0,644.03,0,21.49,0,0,3,0,0,0,0,0,6.16,0,0,9.72,0,42.52
