stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,57.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.51,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1,11.92,0,0,15.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.12,0,0,0,12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.7,29.5,0,0,43.51,0,0,0,8.45,0,0,0,0,0,0,0
 14-21,0,0,1,38.98,4.58,0,4.18,0,0,0,3.06,0,1.07,0,0,0,0,0,0,6.36,0,0,6.13,43.47,1.13,0,0.89,3.07,0,4.69,1.99,0,2.03,21.58,0,0,3.55,0,5.96
 24-34,0,0.9,2.56,20.84,0.96,0,5.4,1.66,0.71,2.39,0.67,0,0,0,0,0,0,0,0,21.22,0,0,11.75,57.3,0,0.75,0.77,0,0.99,11.3,2.07,5,1.39,15.04,0,0,12.56,0,0
 36-46,0,0,0,11.23,0,0,1.78,0,1.93,1.07,0.61,0,0,0,0,0,1.29,0,0.61,8.3,0,0,5.19,26.55,0,0,1.66,0,0,17.84,0,0.94,0,4.59,0,0,6.05,0,3.65
 48-58,0,0,0,4.07,4.72,0,3.26,2.28,1.9,4.26,0,0,0.85,0,8.58,0,0,0,0,10.03,0,1.23,1.87,11.88,0,0,0,0,0,5.39,0,0.61,0,8.52,0,0,6.6,0,8.19
 60-70,0,0,0,11.38,0,0,1.5,2.1,1.35,8.7,0,0.59,0,1,0.67,0,1.2,0,0,28.07,0,0,7.31,5.55,0,0,0.79,0,0,3.79,0,0.58,0,1.25,0,0.9,0.88,0,10.2
 72-82,0,0.86,0,17.22,0,0,8.56,1.73,4.44,17.92,1.67,0,0.74,6.3,0.7,0.79,2.78,3.49,0,65.06,0,9.15,8.99,43.11,0,0,4.17,0,1.54,11.61,0,0.64,0,3.24,0,4.65,3.84,2.37,0.55
 84-94,0,0,0,22.36,0,0,20.16,2.99,4.53,10.84,0.6,1.23,1.1,0,0,0.62,2.15,0,5.25,39.69,1.13,0.58,1.81,20.19,0,0,4.34,0,0.83,26.63,0,0,0,3.01,0.56,0,0.98,5.39,0.77
 96-106,0,1.68,0,51.99,5.55,0.97,9.89,1.21,12.48,17.67,6.91,0,1.67,1.79,1.94,2.96,3.98,1.8,0,64.77,0.79,2.61,9.38,38.24,0,3.68,2.55,0,9.19,33.66,0,0.82,0,3.61,2.27,1.62,2.35,2.84,11.2
108-118,0,0,0.74,34.5,0,2.29,6.41,8.27,11.27,7.14,4.32,0,1.35,1.2,2.35,4.81,1.91,1.75,1.86,87.41,0.42,5.41,6.58,33.92,0.47,1.1,6.78,0,2.88,15.67,0,0,0,1.72,0.83,5.28,8.18,2.56,4.07
120,0,0,0,29.13,0,0,4.21,6.59,10.17,0,2.49,0,2.09,3.12,1.05,5.82,2.19,1.38,0,84.6,1.12,0,5.64,22.63,4.9,0,0,0,0,51.02,0,0,0,0,3.57,0,6.37,0,7.95
