stage,epidermis,eye,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
 14-21,2.13,0,0,1.01,0,0,0,0,0,0,0,10.48,0,0,2.6,0.83,2,0
 24-34,0,0,0,0.66,0,0,0,0,1.66,0,0,8.63,2.46,0,0,0,1.63,0
 36-46,0,2.86,0.78,0,0,0,0,0,0,0,0,0.85,1.31,0,0,0,0,0
 48-58,0,2.23,4.28,0,0,0,0,0,1.66,2.68,0,4.31,0,0,0,0,3.12,0
 60-70,0,2.39,0,0,0,0,0,0,0,0,0,6.93,0,6.65,0,0,9.53,0
 72-82,0,2.08,0.99,0.99,0.9,3.9,0,0,5.45,0,0.49,8.48,1.79,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0.64,0,0,0,0
 96-106,0.89,5.92,2.91,0,0,2.48,0.89,0,0.64,0,0.88,0,0.84,0.68,0,0,0,2.7
108-118,0,1.96,1.42,0.45,0,1.9,0,0.93,2.41,0,0,8.58,0.65,0,0,0,0,0
120,0,0,0,1.31,0,0,0,0,18.08,0,0,5.81,0,2.79,0,0,0,0
