stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,67.26,1287.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.97,0,0,0,0,0,0
  5-6,38.46,746.19,0,0,0,0,0,0,0,0,0,0,0,147.18,13.98,11.43,50.94,0,0,0,0,0,0
  7-9,14.86,0,49.69,0,7.06,0,0,0,0,0,0,0,0,105.17,40.39,677.66,0,6.96,0,0,0,0,0
 10-12,0,7.41,25.38,0,0,0,0,0,0,0,0,0,0,35.15,27.14,394.88,0,0,0,17.33,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.95,3.52,4.74,0,0,0,73,0,8.88,0,0
 24-34,0,0,0,0,0,0.7,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,1.28,0,0.94
 36-46,0,0,0,0,3.34,2.07,0,0,0.57,1.44,0.7,0,0,36.34,0,0,0,0,0,0,0,16.66,0
 48-58,0,0,0,0,7.66,0,1.26,0,0,0,2.61,0,0,17.98,0,0,0,0,0,0,0,1.35,0
 60-70,0,0,0,0,21.09,0,0.72,0,0,0,0.75,0,0,20.86,0,0,1.54,0,0,0,0,0,0
 72-82,0,0,0,0,10.77,0,0,0,0,0,0.52,0.77,0,13.24,0,0,0,0,0,2.05,0,3.24,0
 84-94,0,0,0,0.67,0.82,0,0,0.66,0,0,6.52,0,0,2.64,0,0,0,0,0,4.29,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1,0,0,0
108-118,0,0,0,2.26,2.96,0,0,0,0,0,2.95,0,0,2.47,0,0,0,0,0,3.54,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,0,0,0,0,0
