stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,78.56,0,0,0,12.24,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,0.99,0,0,0,53.12,0,0,1.09,0,0,0,26.37,0,0,0,0,0
 24-34,0.79,0,7.6,0,0,9.17,0,0,0,0,0,1.33,0,0,1.42,400.24,0.87,0,0,0,0,0.73,89.82,0,0,0,0,0
 36-46,0,0,3.39,0,0,17,0,0,0,0,0,1.61,0,0,1.28,688.42,0,0,0,0,2.37,0,108.05,0,0,0,0,5.33
 48-58,2.03,0,23.35,0,13.34,82.19,0,0,0,0,0,3.45,0,0.95,0.38,1024.14,0,0,0.4,0,0,0,140.59,0,0,0,0,0
 60-70,9.27,2.83,88.12,0,0,93.56,0,0,0,0,0,8.65,0,0,0,1428.42,0,0.99,0,0,0,0,126.3,0,0,0,0,9.43
 72-82,1.91,0,124.47,0,0,81.04,1.38,0,0,0,5.63,26.93,0.94,0,3.03,1630.91,0,0,0,0,1.19,0,115.49,0,0.9,0,0,2.11
 84-94,8.19,1.73,127.01,0,0,44.42,1.94,0,4.06,0,0,17.95,0,0,0,986.55,0,0,0,0,0,0,56.41,0,0,0.97,0.64,0
 96-106,4.5,4.78,129.77,0,0.77,75.18,0,3.83,0,1.01,4.79,13.8,0,0,0,857.04,0,2.18,0,0,10.96,0,48.6,4.84,0,0.88,0,6.64
108-118,6.7,0,94.71,2.46,0.66,50.95,4.32,0,2.67,0,0,21.51,0,0,0,1079.06,0,0,0,0,0.68,0,37.36,4.38,1.11,1.53,0,0
120,17.31,1.79,181.93,0,1.58,90.25,0,3.54,0,0,0,5.83,0,0,1.93,2002.37,0,11.55,0,0,4.35,0,90.34,0,0,1.35,0,0
