stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.83,0,0,0,20.33,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,109.07,4.08,0,0,30.59,0,0,0,0,0,0,0,0,0,0
 10-12,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.85,0,0,0,49.51,0,0,0,36.04,0,0,0,0,0,0
 14-21,0,1.94,25.77,0,0,4.57,0,0,0,4.21,2.77,0,0.9,0,0,0,0,9.71,0,3.93,56.45,0.89,0,1.02,0,0,1.6,4.73,0.91,5.02,39.93,0,1.23,0,0
 24-34,0,0.79,5.66,0.68,0,5.13,0,0.62,0,4.99,0,0,0,0,1.32,0,0,8.02,0,1.02,108.71,0,0,0,0,0,7.63,0,0,2.17,40.01,0,1.46,0,0
 36-46,0,0,10.76,0,0,12.61,0,15.62,0,12.06,0.66,0,0,0,0,0,5.58,4.23,0.74,0,85.88,0,0,0.64,0,0,0.64,0,1.81,0,31.11,0,0,0,0
 48-58,0,0,13.8,0,0,11.73,0,0,0,11.24,0,0,0,0,0,0,0,7.79,0,1.49,39.36,0.67,2.94,1.8,0,0,0.96,0,0,0,34.44,0,0,0,0
 60-70,0,0,1.18,0,0,0.72,0,2.33,1.51,10.19,0,0,0,0,0,0,0,4.03,2.09,0.78,11.37,0,0,1.38,0,0,0,0,2.82,0,12.33,0,9.01,0,0
 72-82,0,0,2.84,0,0,26.06,0,0,0,22.28,0,0,0,0,0,0,0,20.7,5.5,1,33.14,0.73,0,0.51,0,1.67,3.68,0,0,0,4.17,1.7,6.23,0,0
 84-94,0,0,0,0,0,8.15,0,0,0,17.24,0,0,0,0,0,0,0,14.85,0,0,19.52,0.76,0,0,0,0,3,0,0.87,0,0,0,0,0,0
 96-106,0,0,1.58,0,0,34.02,0,2.41,3.45,11.37,0,0,0,0.66,2.5,0,0,24.1,0.57,3.54,5.33,0.68,0,3.86,0,0,9.05,0,0,0,18.15,0,5.56,1,1.93
108-118,0,0,7.7,0.96,3.68,18.68,0.67,0.56,0,24.35,0.44,0,0,0,1.71,1.13,0,28.7,0,5.01,20.3,1.85,0,3.35,0,2.45,2.86,0,0,0,8.34,0,0,2.47,1.14
120,0,4.41,13.19,0,0,8.78,0,0,0,25.63,0,0,0,0,1.6,0,0,28.85,0,0,29.92,2.42,1.48,0,0,0,0,0,0,0,22.85,0,7.47,0,0
