stage,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord
 14-21,0.88,0,0,0,0,0,1.44,0,0.97,0,0.86,0
 24-34,0,0.76,0,0,0,0,1.39,0,0,0,0,0.84
 36-46,10.57,0,0,0,0,0.57,3.4,0,0,0.69,0,0.71
 48-58,0,2.91,0,0,0,0,4.15,0,0,0,0,0
 60-70,0,4.21,0,0,0,1.72,1.77,0,0,0,0,4.1
 72-82,0,1.16,0,0,2.43,0,2.33,0.79,0,0,0,0
 84-94,0,4.21,0,1.77,0,0,0,0,0,0,0,0
 96-106,0.74,0,0,0,2.04,0,0,0,0,0,0,0
108-118,1.77,10.72,0,0.45,0,0,4.81,0,0,0,0,0
120,0,1.95,2.17,0,0,0,2.63,0,0,0,0,0
