stage,epidermis,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,1.2,0,0,0.85,0,0,0,6.2,0,0,4.67,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.85,0,0.69,5.32,0,0,2.5,2.67,9.3,0
 36-46,0.86,2.85,0.6,0,0,0,0,0,6.71,0,0.75,11.71,0,0,0,1.47,3.61,0
 48-58,0,6.38,0,1.33,0,0,0,0,4.45,0.5,0,11.77,0.56,0,0.42,1.72,0,0
 60-70,0,18.86,0,0.85,0,0,0,0,5.85,0,1.26,7.24,0,0,0,0,0,0
 72-82,0.6,13.04,0,0.54,0,0,0,0.93,10.73,0,0.5,12.76,0,0.79,0,0,0,0
 84-94,0,7.6,0,12.66,0.84,0,0,8.94,20.23,0,2.05,6.21,0,0,1.03,0,0,0
 96-106,0,0,0,1,0,0,0,0,4.21,0,0.95,1.16,2.72,0,1.09,3.63,0.93,0
108-118,1.99,0,0,5.77,0,0.51,1.03,0,9.4,3.11,0.94,2.38,1.48,0,0,0,0,3.1
120,0,0,0,0,0,0,0,0,5.31,0,0,1.56,0,0,4.07,0,0,0
