stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.94,85.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.66,73.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.49,0,0,0,16.85,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,63.54,8.24,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.58,0,7.34,0,7.85,0,0,0,0,0,0,12.16,0,0,0,0,0,0,0,0,0,0,0,102.1,0,0,0,26.21,0,0,0,0,5.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.92,4.85,0,0.91,0,0,0,0.92,0,0,0,0,0,0,9.54,0,5.74,0,0,3.08,17.51,0.89,0,0,0,0,2.42,0,1.21,0,1.98,3.22,0,0,3.56,0,1.85
 24-34,0,0,0,0,1.6,0,0,7.09,0.9,0,0,0,0,2,1.95,0,0,1.29,0,0,8.57,0.91,0,5.85,47.46,0,0,0,0,0,7.86,0,0,0,1.42,19.36,0,0,11.85,0,0
 36-46,0,0,0,0,0,0,0,5.53,0,0,5.6,0,0,2.19,1.13,10.34,0,0,2.4,0,16.44,0,0,2.09,41.34,0,0,0,0,0,23.35,0.81,0,0,0,10.84,0,0,11.85,0,1.83
 48-58,0,0,0,0,1.25,0,0,9.9,0,0.93,2.99,0.56,0,0.87,0.86,0.44,0,0,0,0,6.18,0,0.41,1.72,24.85,0.88,3.47,0.85,0,0,7.08,0,0,0,0,9.19,0,0,5.24,0,0
 60-70,0,0,0,0,0,0,0,9.55,1.36,1.62,8.16,14.15,0,0,3.06,0,0.79,0.73,0,0,25.62,0,0,1.72,20.9,0,1.8,2.8,0,2.4,18.05,0,0,0,0,3.33,0,0,14.39,0,0
 72-82,0,0,0.5,0,1.2,4.05,0,20.79,0,0,16.34,6.62,0,2.87,2.21,0.57,0.54,2.37,0,0.64,31.47,0.66,2.69,3,30.43,0,6.18,1.3,0,0,3.16,0,0,0,0,6.29,2.04,0,13.86,0,0
 84-94,0,0,0,0,3.22,0.92,0,13.16,0.62,2.1,6.22,17.58,0,1.06,4.31,1.41,0,1.52,0,0.56,22.78,1.42,0.95,0.95,19.14,0,1.56,0,0,0,17.01,0,0,2.17,0,0,0,0,2.76,2.2,0
 96-106,0,0,0.95,0,10.47,2.13,0,3.72,5.82,1.58,3.99,28.14,0,0,7.24,1.47,0.91,1.05,0,0,48.35,2.18,0.59,4.83,15.6,0,7.65,3.56,0,0,21.71,0,0,0,0,0,0,1.48,17.78,0.74,0
108-118,0,0,0,0.49,14.48,0.42,0.72,11.86,0.46,0.62,18.69,29.04,0,0,4.45,3.32,1.8,2.61,2.61,0,35.41,0,0.97,5.93,27.05,1.18,3.2,1.65,0,2.06,3.24,0,0,1.57,0,0.64,0.42,0,10.55,0,1.67
120,0,0,0,0,4.01,1.61,1.06,12.02,0,1.44,24.14,78.94,0,0,2.52,2.5,0,0,4.88,0,13.46,3.7,25.99,0,41.17,0,0,6.13,0,1.79,1.12,0,0,2.61,0,14.56,0,0,4.43,0,0
