stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  5-6,30.31,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0
  7-9,11.11,0,0,0,0,0,0,0,28.88,5.99,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,26.27,0,0,0,5.71,0,0
 14-21,0,1.8,1.67,1.94,0,0,1.04,3,19.2,0,0,2.47,0,4.03,4.06
 24-34,0,0,0,1.68,0,0,1.47,0,14.26,0,0,0,0,0,3.37
 36-46,0,0,0,1.36,0,0,0,0,19.02,0,0,0,0,0,0.62
 48-58,0,0,0,2.13,0,0.9,0,0,3.25,0,0,0,0,0,0
 60-70,0,0,0,3.12,2.35,0,0,0,6.33,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.35,0,0,0.59,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0
108-118,0,0,0,0.68,0,0.85,0.96,0,2.29,0,0,0,0,0,0
