stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0
 24-34,0.6,0,0,0,0,0,0,11.92,0,0,1.34,0,91.67,0,0.97,0,0
 36-46,6.6,0,1.42,0,0,0,0,0.6,0,0,5.87,0.65,128.09,0,0,0,0
 48-58,0,0.74,0,0,0,0,0,3.55,0,0.51,1.43,0,65.83,0,0.83,0,0
 60-70,0,3.3,0,0,0,0,0,0,0,0,0.84,0,48.46,0,1.14,0,0.66
 72-82,0,0,0,0,0.58,0,0,0,0,0,0,0,49.05,0,0,0,0
 84-94,0,14.28,1.29,0,0,0,1.08,0,0,0,0,0,139.92,0,0,0,0
 96-106,0,16.99,1.49,1.95,0,1.7,6.11,4.24,0,0,0.64,0,140.68,0,0,0,0
108-118,2.83,5.51,2.65,2.52,0,0,2.94,0,1.14,0,2.8,0,156.98,0,0,0.75,0
120,0,2.58,9.61,0,0,0,0,0,0,0,5.73,3.63,170.09,2.78,0,0,0
