stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,lateral.line,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord
  3-4,53.87,713.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.34,754.84,0,0,0,0,0,0,0,27.63,0,0,0,8.83,0,0,0
  7-9,0,8.78,9.12,0,21.98,0,0,12.8,0,202.02,9.88,0,0,72.37,0,0,0
 10-12,0,3.88,0,0,5.83,0,0,0,0,18.97,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5.48,0,0,0,0,0,1.51,2.59,0,1.76,1.19,21.18
 24-34,0,0,0,0,0,2.95,0,0,0,0,0,1.72,0,0,2.33,0,10.35
 36-46,0,0,0,0,0,0,0,0,0,2.09,0,2.01,0.57,0,1.23,0,11.02
 48-58,0,0,0,0,0,25.83,0,0,0,1.25,0,0.88,1.27,0,0.38,0,13.57
 60-70,0,0,0,0,0,2.42,0,0,0,1.89,0,0,7.52,0,1.12,0,4.34
 72-82,0,0,0,0,0.55,2.54,0,0,3.1,0,0,5.07,2.88,0,0,0,5.1
 84-94,0,0,1.01,0,0,8.82,1.45,0,4.98,1.68,0,4.64,8.25,0,0,0,20.47
 96-106,0,0,0,0,0,2.82,0,0,14.75,0,0,1.84,14.45,0,0,0,6.76
108-118,0,0,0,0,0,4.23,0,0,4.91,0,0,2.86,7.74,0,0.54,0,0
120,0,0,0,1.85,0,0,0,0,3.55,14.93,0,9.53,25,0,1.97,0,4.42
