stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,13.24,0,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0,0,0
  7-9,0,0,83.81,0,0,0,0,0,0,0,0,0,0,40.99,7.93,0,0,0,0,0,0,0,0
 10-12,0,0,570.37,0,0,0,0,0,0,0,0,0,0,349.92,65.31,0,0,102.59,0,0,0,0,0
 14-21,0,2.73,27.29,36.2,5.9,0.99,0,0,8.69,0.8,2.94,30.85,10.46,32.56,0,0,0.86,2.22,0,6.14,14.52,0,0
 24-34,0,0,14.98,17,0.68,1.78,0,0,12.46,0,15.16,46.83,5.23,26.85,0,0,1.1,0,0.67,0,8.98,22.61,0
 36-46,0,0,0,17.09,0,0,0.68,0,1.38,0,21.37,8.75,0,10.59,0,0,0,0,0,0,0,4.15,0
 48-58,0,0,0,8.21,0,0,0,0.81,11.96,0,0,3.9,0,5.43,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.64,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0.97,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0
