stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0,0,13.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,12.72,0.82,0,0.97,0,0,0,0.92,0.81,3.09,0,0,0,0,0,0.82,0,0,0,18.68,0.87,0,0,0.9,2.53,6.39,0,9.25,0,0,0
 24-34,0,0,3.36,0.66,0,3.45,0,0,0,0,0,0,0,0,0,0,0,12.85,0,0,0.96,34.84,0,0,0,0,18.57,0,0.7,34.91,7.95,0,0
 36-46,0,0,13.86,0,0,4.57,0,1.05,0,0.97,0,0,0,0,0,0,0,2.27,0,0,0,53.2,1.88,5.18,0,0,32.95,0,0,18.75,6.72,0,0
 48-58,0,0,5.21,0,0,15.16,0.62,0,0,1.55,0.43,0,5.13,0,0,0,0,3.08,3.86,0,0.74,87.51,0,0,0,0,20.42,0,0,11.57,2.43,0,1.99
 60-70,0,0,3.42,0,0,46.84,0,11.16,0.86,0,0,0,0,0,0,0.67,2.19,18.41,0.73,0,1,95.71,0,1.08,0,0,41.6,0,0,13.76,0,0,0
 72-82,0,0,0,0.49,0,58.07,0,0,0,0.65,0,0,0,0.69,0,0,1.08,8.65,0,0,0,115.47,0,0,0,0,4.94,0,0,8.33,2.4,0,7.3
 84-94,0,0,2.87,0,0,26.42,0,0,0,8.55,0,0,0,0,0,0,0,3.15,3.29,0,2.92,69.32,0,0.61,0.59,0,29.66,0,0,8.04,1.32,0.82,0
 96-106,0,0,3.62,5.46,1.05,22.56,0,0.71,0,10.38,1.45,0,0,0,0,0,0,10,0.7,0,0,58.7,0,1.35,0,0,38.12,0,0,0,0,0.8,0
108-118,0,0,2.97,1.09,6.6,23.98,0,1.08,0,7.57,3.62,0,0,8.14,0,0.47,0,18.83,9.67,1.05,0.99,46.69,0,0,0.44,0,25.57,0,0,0,4.38,0,0
120,0,0,2.43,1.68,1.71,12.69,0,0,1.6,14.95,1.73,0,0,9.16,1.77,0,0,7.79,1.46,0,0,126.23,0,0,0,0,32.59,0,0,0,9.46,0,0
