stage,blastomeres,exocrine.pancreas,muscle,neural,paraxial.mesoderm,somites
  3-4,94.41,0,0,0,0,0
  5-6,41,0,0,0,8.57,0
  7-9,0,0,0,5.36,39.5,0
 10-12,4.08,0,0,8.48,18.16,0
 14-21,0,0,0.83,0,0,3.94
 24-34,0,0,0,0,0,1.74
 48-58,0,0,0.6,0.72,0,0
108-118,0,1.99,0,0,0,0
