stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,188.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.83,54.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,34.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.03,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.19,0,0,0,0,23.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.14,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,24.12,0.86,0,0,0,0,2.21,0,1.87,1.06,0,1.76,1.9,0,0,0,0
 24-34,0,0,0.67,0,0,0,2.38,0,0,0,0,0,1.71,0,1.24,0,0,0,6.29,0,0,23.42,0,0,0,0,0,3.15,0,0,0,0,0.63,2.46,0,0,4.33,0
 36-46,0,0,0,1.22,0,0,1.31,0,0,0,0.79,0,0,0,0,0,0,0,2.09,0,0.63,21.56,0,0,0,0,0,1.87,0,0,0,0,0,3.17,0,0,0,0
 48-58,0,0,0,2.61,0,0,6.48,0,0,0.41,1.98,0,0,0,0,0,0,0,4.46,0,1.54,17.49,0,0,0,0,0,2.36,0,0,0,1.03,0,2.03,0,0.37,0.49,0
 60-70,0,0,0,0.9,0,0,26.89,2.88,0,0,5.82,1.27,0,0,0,0,0,1.32,10.32,0.79,0,36.96,0,0,0,0,0,4.64,0,0,0,0,0,12,0,0,0,0
 72-82,0,0,0,1.54,2.96,0,13.73,1.16,0,0,4.71,0,0,0.5,0,0,0,3.08,5.17,0,0.53,44.34,0,1.64,0,0,0,4.42,0,0,0.5,0,0,0,0,0,1.3,0
 84-94,0,0,0,0.81,1.49,0,21.72,0,0,0,4.79,3.35,0.85,0,1.11,1.31,3.4,0,11.07,1.23,0.65,21.64,0,0.77,0,0,0,13.75,0,0,0,0,0,0,0,0,4.1,0
 96-106,0,0,0,2.52,13.69,0,30.32,0,0,1.62,7.24,2.55,0,1.97,0,0,1.71,0,6.57,0,0,24.09,0,1.6,1.37,0,0,5.25,0,0,0,0,0,0,0.83,0,0.61,3.13
108-118,0,0,0,12.48,0,0.86,33.96,1.09,0,0,8.04,0.6,0,0,0.88,0.73,1.26,1.1,18.89,0.94,2.41,39.31,0,3.77,0.44,0,3.53,4.22,0.42,0,5.33,0,0,0,1.13,0,6.52,1.09
120,0,0,0,3.93,0,0,12.67,0,2.23,0,19.46,1.56,0,1.01,0,0,0,1.4,5.06,0,6.81,50.32,2.98,0,3.65,0,0,14,0,0,3.14,0,0,0,0,0,13.55,6.74
