stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.2,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,4.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.99,1.07,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.57,0,0,0,0,0,6.49,0,0,0,0,0
 24-34,0,0,0,19.4,0,0,9.65,0,0,0,0,0,0,0,0,0.68,0,0,0,159.61,0,0,0,0,0,17.69,0,0,0,0,0
 36-46,0,0.58,0,34.69,0,0,11.63,0,0,0,0,0,0,0,0,0,0,0,0,187.56,0,0,0,0,0,27.96,0,0,0,0,0
 48-58,0,0,0,342.65,6.07,0,25.78,0,0,0,0,0,6.72,0,0,8.73,0,0,3.28,395.9,0,2.08,0,0,8.62,36.23,0,0,3.32,0,2.94
 60-70,0,4.69,0,1177.9,0,0,38.69,0,0,0,0,0,0,0,0,4.96,1.14,0.7,0.6,778.52,0,9.66,0,0,3.2,52.31,0,0.9,0,0,0
 72-82,0,5.66,0.55,1163.92,0,0,57.74,0,0,0,1.55,0,0.66,0,1.6,22.08,0,0,4.2,951.69,0,0.91,0.58,0,0.97,47.05,2.31,0,7.14,0.57,13.22
 84-94,0,4.23,0,718.1,2.03,1.44,25.29,0.69,0,0,0.83,0,0.67,0,0,21.98,0,2.21,1.48,746.08,0,0,11.62,0,12.07,27.76,0,1.89,0.86,1.43,2.1
 96-106,0,5.76,11.62,600.86,0,1.65,20.07,0,0,0,1.2,1.23,1.63,1.05,5.32,38.43,0,0,0.89,661.55,0,1.14,7.22,0,1.26,13.29,0,0,0,1.78,0
108-118,0,4,5.17,601.97,0,0,27.98,0,0,0.47,0,0,0.42,0,0,14.87,0,2.06,0,631.82,0,0,7.27,0,0,27.21,0,0,0,1.55,0
120,0,15.06,5.68,422.74,0,0,69.71,0,0,0,0,0,0,1.88,0,17.25,0,0,1.49,1258.82,0,0,6.65,0,2.88,50.24,0,8.19,0,0,0
