stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.01,265.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,19.52,436.27,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,45.78,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.52,0,0,15.08,0,0,0,59.63,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,607.79,15.36,0,0,119.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.09,0,16.19,0,0,0,27.99,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,391.97,3.99,0,0,150.22,0,0,0,0,0,5.96,0,0,0,0,0,0
 14-21,0,0,1.32,6.21,39.02,11.57,0,33.81,0,0,0,5.19,0,0,0.96,0,0,0,0,0,2.07,123.03,0,122.52,354.82,32.69,0,6.24,7.39,0,0,46.18,0.96,54.11,340.36,236.8,0,0,9.47,0,1.22
 24-34,0,0,0.84,3.49,8.89,0.76,0,36.61,0,0.7,1.25,5.04,1.33,0,6.92,0,0.89,0,1.8,1.4,0,165.58,0,179.4,464.97,15,0,2.15,0,0,7.56,0,0,2.42,24.24,289.32,0,0,26.86,0,0
 36-46,0,0,0,0,0,0,0,30.82,0,0,3.31,23.06,1.58,0,2.25,0,0,0,0,4.92,0.99,267.83,0.85,196.51,355.58,5.11,0.99,1.14,0,0,0,0,0,0.73,0,217.79,0,1.23,3.81,0,6.03
 48-58,0,0,0,0,1.91,0,0,90.08,0,0,6.53,64.67,0,0,2.43,0,0,0,0,6.97,3.65,513.55,2.76,238.33,369.69,3.43,0,7.57,0,0,0.9,0,0,0,0,229.01,0,1.86,0.81,0,1.31
 60-70,0,0,0,0,0,0,0,48.56,0,2.09,2.7,63.59,1.35,0,1.49,0,0,0.61,0,6.28,2.19,698.5,2.15,169.28,311.86,3.25,0,5.27,0,6.29,0,0,0,1.46,0,153.38,0,11.47,7.66,0.73,0
 72-82,0,0,1.52,0,6.82,8.25,7.68,96.62,0.75,0,19.74,144.87,3.41,0,4.76,0,0,0,5.87,16.91,0,983.78,14.72,174.84,349.85,0.72,0,9.53,0,12.52,0,8.75,0,0.51,0,119.23,0,24.22,20.39,10.44,0
 84-94,0,0,0,0,6.76,0,17.87,82.63,0,0,2.47,121.22,9.9,2.11,1.31,0,0,0,2.87,26.59,0,834.49,13.86,156.82,238.6,0,0,9.14,0,15.63,0,0,0,0.61,0,139.79,0,14.33,12.03,3.39,0.7
 96-106,0,0,0,0,17.06,2.93,13.48,71.95,0,0,13.2,190.28,16.89,0,4.54,0,0,0,2.93,35.61,0.68,1238.31,9.73,123.4,227.81,1.4,0.85,16.85,0,33.89,5.7,0,0.71,0,0,139.51,0,14.63,37,8.53,13.8
108-118,0,0,0,0.49,12.77,1.3,63.21,61.16,0,3.13,13.55,207.63,28.48,0,0,0.48,0.46,2.1,0,104.22,0,1283.46,5.18,126.15,258.75,1.22,0,18.72,0,83.67,2.78,0,0.55,0,0,88.79,0,25.16,18.18,12.37,5.4
120,0,0,0,0,4.42,4.51,19.55,62.32,0,1.11,4.96,213.47,7.73,0,0,5.18,0,0,3.75,81.8,0,1163.42,32.08,104.75,262.98,2.48,0,1.05,0,91.39,1.36,0,1.86,0,0,108.38,1.81,18.71,23.54,30.4,0
