stage,endoderm,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,olfactory,periderm,pronephros,somites,spinal.cord
 10-12,7.76,0,0,0,0,0,3.15,0,0,3.8,0,0
 14-21,0,0,0,0,0,0,1.09,0,0,0,1.04,0
 24-34,0,0,0,0,0,0,2.44,0,0,0,0,0.83
 36-46,0,0,0,0,0,0,14.8,0,0,0,0,0.57
 48-58,0,0,0.77,0,0,0,40.75,0,4.03,0,0,1.3
 60-70,0,0,0,0.81,13.33,0,114.94,0,0,0,0,2.21
 72-82,0,0,7.25,0,0,2.66,164.78,0,0,0,0,1.35
 84-94,0,0,2.5,0,0,0,98.82,0,0,0,0,3.99
 96-106,0,0,7.03,0,0.9,0,147.66,1.12,0,0,0,0
108-118,0.74,0,9.76,0,0,0,119.67,0,0,0,0,4.3
120,0,9.25,0,0,0,0,125.68,5.76,0,0,0,0
