stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,immune,iridophores,mesenchyme,neural,notochord,paraxial.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.6,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0
 10-12,0,11.65,0,0,0,0,0,0,0,0,0,4.81,12.83,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,25.09,0,0,3.76,0,0,0,0
 24-34,0,0,1.1,0,0,3.61,0,0,0,0,16.52,0,0,0,3.46,0,0,0
 36-46,0,0,0.98,0,1.71,1.16,0,0,0,0.73,43.44,0,0,0,5.06,0,0,0
 48-58,0,0,0,0,4.8,3.76,0,0.8,0,3.64,64.15,0,0,0,2.28,0,0,0
 60-70,0,0,0.89,0,7.65,10.8,0,0,0,14.63,73.85,0,0,0,1.94,0,0,0
 72-82,0,0,0.83,0,27.18,5.47,0,0,0,17.31,111.27,0,0,0,8.52,0,0,0
 84-94,0,0,0,1.51,32.39,7.45,7.11,0,0,27.69,52.99,0,0,0,0,0,0,0.57
 96-106,0,0,0,0,19.21,9.07,1.54,0,0.73,10.41,83.29,0,0,0,3.58,0,0,0
108-118,0,0,4.63,0,22.63,13.73,0,0,0,3.57,75.15,0,0,0,1.12,0.68,0,0
120,0,0,1.22,0,79.08,0,0,3.35,0,28.38,163.57,0,0,0,0,0,2.41,0
